,name,link,loc,dc,lc,lm,lpl,tmm,smells,issues,bugs,no_bugs
0,hidroh/materialistic,https://github.com/hidroh/materialistic,24325,4,0,1,0,39,44,207,12,195
1,gsantner/memetastic,https://github.com/gsantner/memetastic,7321,8,0,1,0,9,18,19,0,19
2,fenimore/DemocracyDroid,https://github.com/fenimore/DemocracyDroid,2337,2,0,0,0,1,3,4,1,3
3,ctodobom/OpenNoteScanner,https://github.com/ctodobom/OpenNoteScanner,3610,3,2,5,0,3,13,40,2,38
4,HugoGresse/Anecdote,https://github.com/HugoGresse/Anecdote,5464,3,0,0,0,4,7,9,2,7
5,greenaddress/abcore,https://github.com/greenaddress/abcore,1863,0,0,1,0,0,1,14,0,14
6,mkulesh/microMathematics,https://github.com/mkulesh/microMathematics,46005,9,8,24,1,35,77,14,0,14
7,vijai1996/screenrecorder,https://github.com/vijai1996/screenrecorder,4497,1,0,1,0,6,8,22,2,20
8,gsantner/markor,https://github.com/gsantner/markor,11953,3,0,6,4,18,31,44,3,41
9,SecUSo/privacy-friendly-pedometer,https://github.com/SecUSo/privacy-friendly-pedometer,7480,9,0,6,0,8,23,18,4,14
10,philliphsu/ClockPlus,https://github.com/philliphsu/ClockPlus,7143,0,0,1,0,14,15,48,0,48
11,Sparker0i/Weather,https://github.com/Sparker0i/Weather,4414,4,0,2,0,3,9,8,2,6
12,ScreamingHawk/android-slideshow,https://github.com/ScreamingHawk/android-slideshow,1696,2,0,1,0,1,4,22,8,14
13,openintents/notepad,https://github.com/openintents/notepad,5674,0,2,7,0,3,12,14,0,14
14,jtmcn/archwiki-viewer,https://github.com/jtmcn/archwiki-viewer,960,1,0,0,0,0,1,9,0,9
15,kwantam/batsHIIT,https://github.com/kwantam/batsHIIT,516,0,0,1,0,1,2,7,1,6
16,commons-app/apps-android-commons,https://github.com/commons-app/apps-android-commons,22057,16,0,5,2,27,50,444,85,359
17,Cj-Malone/Screens,https://github.com/Cj-Malone/Screens,788,0,0,1,0,0,1,3,0,3
18,MarcelJurtz/MTG_LifeCounter,https://github.com/MarcelJurtz/MTG_LifeCounter,1340,0,0,1,0,3,4,12,1,11
19,OpenArchive/openarchive,https://github.com/OpenArchive/openarchive,4799,2,0,3,0,3,8,51,13,38
20,erickok/transdroid,https://github.com/erickok/transdroid,24890,12,2,26,3,23,66,67,8,59
21,kollerlukas/Camera-Roll-Android-App,https://github.com/kollerlukas/Camera-Roll-Android-App,17437,3,2,10,0,13,28,80,19,61
22,T-Rex96/Easy_xkcd,https://github.com/T-Rex96/Easy_xkcd,8855,0,1,4,0,4,9,19,0,19
23,TobiasBielefeld/Simple-Brick-Games,https://github.com/TobiasBielefeld/Simple-Brick-Games,5610,0,1,5,0,4,10,0,0,0
24,TheTorProject/ooniprobe-android,https://github.com/TheTorProject/ooniprobe-android,4695,4,0,0,1,0,5,17,3,14
25,MCMrARM/revolution-irc,https://github.com/MCMrARM/revolution-irc,25698,1,0,5,1,22,29,92,23,69
26,andOTP/andOTP,https://github.com/andOTP/andOTP,5990,0,0,7,0,4,11,55,9,46
27,qqq3/inventum,https://github.com/qqq3/inventum,5392,0,0,0,0,5,5,7,0,7
28,HenriDellal/emerald,https://github.com/HenriDellal/emerald,4908,2,0,1,0,3,6,23,6,17
29,tengusw/share_to_clipboard,https://github.com/tengusw/share_to_clipboard,392,0,0,0,0,0,0,2,0,2
30,arnef/bewegungsmelder-android,https://github.com/arnef/bewegungsmelder-android,1835,4,0,1,0,1,6,3,1,2
31,SecUSo/privacy-friendly-dice-game,https://github.com/SecUSo/privacy-friendly-dice-game,562,0,0,1,0,0,1,0,0,0
32,itds-consulting/android-silent-ping-sms,https://github.com/itds-consulting/android-silent-ping-sms,521,0,0,0,0,1,1,8,0,8
33,gilbsgilbs/freemobilenetstat,https://github.com/gilbsgilbs/freemobilenetstat,5346,1,0,9,0,4,14,30,20,10
