,name,loc
0,hidroh/materialistic,24325
1,gsantner/memetastic,7321
2,fenimore/DemocracyDroid,2337
3,ctodobom/OpenNoteScanner,3610
4,HugoGresse/Anecdote,5464
5,greenaddress/abcore,1863
6,mkulesh/microMathematics,46005
7,vijai1996/screenrecorder,4497
8,gsantner/markor,11953
9,SecUSo/privacy-friendly-pedometer,7480
10,philliphsu/ClockPlus,7143
11,Sparker0i/Weather,4414
12,ScreamingHawk/android-slideshow,1696
13,openintents/notepad,5674
14,jtmcn/archwiki-viewer,960
15,kwantam/batsHIIT,516
16,commons-app/apps-android-commons,22057
17,Cj-Malone/Screens,788
18,MarcelJurtz/MTG_LifeCounter,1340
19,OpenArchive/openarchive,4799
20,erickok/transdroid,24890
21,kollerlukas/Camera-Roll-Android-App,17437
22,T-Rex96/Easy_xkcd,8855
23,TobiasBielefeld/Simple-Brick-Games,5610
24,TheTorProject/ooniprobe-android,4695
25,MCMrARM/revolution-irc,25698
26,andOTP/andOTP,5990
27,qqq3/inventum,5392
28,HenriDellal/emerald,4908
29,tengusw/share_to_clipboard,392
30,arnef/bewegungsmelder-android,1835
31,SecUSo/privacy-friendly-dice-game,562
32,itds-consulting/android-silent-ping-sms,521
33,gilbsgilbs/freemobilenetstat,5346
34,BiglySoftware/BiglyBT-Android,48458
35,btimofeev/UniPatcher,4059
36,Andre1299/TUI-ConsoleLauncher,24122
37,adolfintel/chromiumUpdater,966
38,termux/termux-app,8965
39,tananaev/rootless-logcat,893
40,sergstetsuk/CosyDVR,1134
41,caarmen/network-monitor,9041
42,termux/termux-styling,199
43,TheUberCatman/crates-io-android,2899
44,j4velin/Pedometer,2178
45,micolous/metrodroid,33862
46,wbrenna/GTFSOffline,2540
47,caarmen/nounours-android,3872
48,Etar-Group/Etar-Calendar,36262
49,SteamGifts/SteamGifts,13082
50,AnaelMobilia/NextINpact-Unofficial,4965
51,scoute-dich/HHSMoodle,1722
52,joonatoona/OpenShift,117
53,maks/MGit,9203
54,meoblast001/thugaim,2079
55,Tortel/SysLog,7577
56,pR0Ps/LocationShare,305
57,dftec-es/planetcon,7064
58,saschpe/BirthdayCalendar,2197
59,EvanRespaut/Equate,6580
60,alaskalinuxuser/app_hourglass,351
61,Neamar/KISS,8927
62,qqq3/good-weather,4410
63,TripSit/tripmobile,1989
64,y20k/transistor,4921
65,geecko86/QuickLyric,13160
66,richsmith/sexytopo,10337
67,icechen1/Notable,1668
68,quaap/SeafoodBerserker,1621
69,Gittner/OSMBugs,5858
70,oliexdev/openScale,14701
71,termux/termux-widget,304
72,guardianproject/ripple,792
73,termux/termux-float,604
74,capitoledulibre/cdl-companion-android,8400
75,gjedeer/mylocation,857
76,SecUSo/privacy-friendly-shopping-list,10440
77,vanilla-music/vanilla-music-cover-fetch,571
78,scoute-dich/K9-MailClient,88069
79,veniosg/Dir,10523
80,greenaddress/GreenBits,180407
81,flyve-mdm/android-inventory-agent/,3779
82,marunjar/anewjkuapp,16987
83,anselm94/Torchie-Android,3408
84,WangDaYeeeeee/Mysplash,46220
85,DecentralizedAmateurPagingNetwork/DAPNETApp,3021
86,butzist/ActivityLauncher,1207
87,francescosoave/TIS_android,326
88,tranquvis/SimpleSmsRemote,6797
89,RyuzakiKK/NoteCrypt,2369
90,h42i/d00r-app,765
91,westnordost/StreetComplete,32495
92,linuxtage/glt-companion,8775
93,gentlecat/Simple-Counter/,954
94,thuryn/your-local-weather,16157
95,abrensch/brouter,26888
96,reloZid/android-anuto,10698
97,VREMSoftwareDevelopment/WifiAnalyzer,17247
98,domogik/domodroid,23131
99,mikifus/padland,4519
