repository,state,closed_at,title,label,is_bug,body
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-22 15:09:05,bibliothèque à la place de librairie,[],0,"Bonjour, c'est une PR pour corriger une traduction erronée de library."
AnaelMobilia/NextINpact-Unofficial,open,,Switch thème clair -> sombre,"[Label(name=""ListeArticlesActivity""), Label(name=""bug"")]",1,Présence de barres blanches sur listeArticles si passage en thème sombre (jusqu'à relancement appli)
AnaelMobilia/NextINpact-Unofficial,open,,Trop de téléchargements simultanés,"[Label(name=""Amélioration de l'existant""), Label(name=""Async*Downloader"")]",0,Limiter à 1 toast sur quelques secondes l'information
AnaelMobilia/NextINpact-Unofficial,open,,Perfs - Fragment,"[Label(name=""Amélioration de l'existant""), Label(name=""ArticleActivity"")]",0,Voir pour ne pas charger les images des 2 activités gauche & droite pour accélérer ?
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-16 01:03:17,Flock - Zoom sur les images,"[Label(name=""Ajout de fonctionnalité""), Label(name=""Amélioration de l'existant""), Label(name=""ArticleActivity"")]",0,#34 => à rendre générique ou voir pour intégration spécifique Flock
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-13 16:45:09,Nombre de commentaires à 0,"[Label(name=""bug"")]",1,"![image](https://user-images.githubusercontent.com/6187125/31556672-37dc9c38-b046-11e7-8cb3-e6bf987326a7.png)
"
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-13 16:47:57,Gestion iframe,"[Label(name=""bug"")]",1,"10-13 16:25:38.273 2591-2641/com.pcinpact E/ParseurHTML: getArticle() - Iframe non gérée dans 105382 : https://www.YouTube.com/embed/videoseries?list=PLvs5oKzmvTtWMhYYDpW5zccTzuluEPCIn
"
AnaelMobilia/NextINpact-Unofficial,open,,Crash - NPE (ItemsAdapter.java:205),"[Label(name=""bug"")]",1,"`java.lang.NullPointerException: 
   at com.pcinpact.adapters.ItemsAdapter.getView (ItemsAdapter.java:205)
   at android.widget.AbsListView.obtainView (AbsListView.java:2429)
   at android.widget.ListView.makeAndAddView (ListView.java:1970)
   at android.widget.ListView.fillDown (ListView.java:704)
   at android.widget.ListView.fillFromTop (ListView.java:765)
   at android.widget.ListView.layoutChildren (ListView.java:1716)
   at android.widget.AbsListView.onLayout (AbsListView.java:2219)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.support.v4.view.ViewPager.onLayout (ViewPager.java:1799)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.widget.FrameLayout.layoutChildren (FrameLayout.java:323)
   at android.widget.FrameLayout.onLayout (FrameLayout.java:261)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.support.v7.widget.ActionBarOverlayLayout.onLayout (ActionBarOverlayLayout.java:437)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.widget.FrameLayout.layoutChildren (FrameLayout.java:323)
   at android.widget.FrameLayout.onLayout (FrameLayout.java:261)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.widget.LinearLayout.setChildFrame (LinearLayout.java:1741)
   at android.widget.LinearLayout.layoutVertical (LinearLayout.java:1585)
   at android.widget.LinearLayout.onLayout (LinearLayout.java:1494)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.widget.FrameLayout.layoutChildren (FrameLayout.java:323)
   at android.widget.FrameLayout.onLayout (FrameLayout.java:261)
   at com.android.internal.policy.DecorView.onLayout (DecorView.java:731)
   at android.view.View.layout (View.java:17641)
   at android.view.ViewGroup.layout (ViewGroup.java:5575)
   at android.view.ViewRootImpl.performLayout (ViewRootImpl.java:2346)
   at android.view.ViewRootImpl.performTraversals (ViewRootImpl.java:2068)
   at android.view.ViewRootImpl.doTraversal (ViewRootImpl.java:1254)
   at android.view.ViewRootImpl$TraversalRunnable.run (ViewRootImpl.java:6344)
   at android.view.Choreographer$CallbackRecord.run (Choreographer.java:874)
   at android.view.Choreographer.doCallbacks (Choreographer.java:686)
   at android.view.Choreographer.doFrame (Choreographer.java:621)
   at android.view.Choreographer$FrameDisplayEventReceiver.run (Choreographer.java:860)
   at android.os.Handler.handleCallback (Handler.java:751)
   at android.os.Handler.dispatchMessage (Handler.java:95)
   at android.os.Looper.loop (Looper.java:154)
   at android.app.ActivityThread.main (ActivityThread.java:6236)
   at java.lang.reflect.Method.invoke (Native Method)
   at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run (ZygoteInit.java:891)
   at com.android.internal.os.ZygoteInit.main (ZygoteInit.java:781)`"
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-03 13:23:11,Chargement des commentaires,"[Label(name=""bug"")]",1,"Bonjour,

Merci pour le maintien de cette application très pratique et de partager le code ici ! 👍

Depuis la dernière version sur le play store (2.2.6), les commentaires ne se chargent plus.

Pouvez-vous corriger ?

Merci par avance."
AnaelMobilia/NextINpact-Unofficial,closed,2017-10-13 23:01:02,#LeBrief,"[Label(name=""bug"")]",1,Pas de chargement du contenu...
