repository,state,closed_at,title,label,is_bug,body
DecentralizedAmateurPagingNetwork/DAPNETApp,open,,NPE während Suche,[],0,"Hallo,

ich fürchte, ich habe einen Bug und einen UI f*ckup gefunden.

Reproduktion:

1) Öffnen der DAPNET App
2) Menü->Rubrics
3) Suchfeld: Eingabe ""franken""
-> Ergebnisliste  lt. Screenshot ""scrambled""
4) Suchergebnis anklicken
5) Neue Eingabe ins Suchfeld,
-> NPE beim ersten Buchstaben

Stacktrace:
11-16 10:44:45.598 17316 17389 W Filter  : An exception occured during performFiltering()!
11-16 10:44:45.598 17316 17389 W Filter  : java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.String de.hampager.dap4j.models.News.getOwnerName()' on a null object reference
11-16 10:44:45.598 17316 17389 W Filter  : 	at de.hampager.dapnetmobile.filters.RubricContentFilter.performFiltering(RubricContentFilter.java:32)
11-16 10:44:45.598 17316 17389 W Filter  : 	at android.widget.Filter$RequestHandler.handleMessage(Filter.java:234)
11-16 10:44:45.598 17316 17389 W Filter  : 	at android.os.Handler.dispatchMessage(Handler.java:102)
11-16 10:44:45.598 17316 17389 W Filter  : 	at android.os.Looper.loop(Looper.java:154)
11-16 10:44:45.598 17316 17389 W Filter  : 	at android.os.HandlerThread.run(HandlerThread.java:61)
11-16 10:44:45.630 17316 17316 D AndroidRuntime: Shutting down VM
11-16 10:44:45.634 17316 17316 E AndroidRuntime: FATAL EXCEPTION: main
11-16 10:44:45.634 17316 17316 E AndroidRuntime: Process: de.hampager.dapnetmobile, PID: 17316
11-16 10:44:45.634 17316 17316 E AndroidRuntime: java.lang.NullPointerException: Attempt to invoke interface method 'int java.util.List.size()' on a null object reference
11-16 10:44:45.634 17316 17316 E AndroidRuntime: 	at de.hampager.dapnetmobile.adapters.RubricContentAdapter.getItemCount(RubricContentAdapter.java:57)

![photo6014719124292349282](https://user-images.githubusercontent.com/10560448/48614075-aacca900-e98d-11e8-8c54-57cfb9e4d5ea.jpg)"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-08-17 07:19:50,Crashes20180817,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-08-16 08:08:39,201807tables,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-08-13 09:02:09,Sound announce when new msg arrive ,[],0,"Hi,

It will be nice add sound announce when a new message arrives at our folder ""Calls"".


73 Waldek SP2ONG"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-08-16 08:39:23,Andere Tabellen integrieren,[],0,"- [x] Abstrakte Klasse
- [x] Subscribers
- [x] Rubrics
- [x] Rubric Content
- [x] Transmitters
- [x] Transmitter Groups
- [x] Nodes
- [x] Users"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-06-11 14:00:37,Licensing,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,open,,Map: TileSource automatisch ändern je nach Netz,[],0,"Entnommen aus #61 
> URL Karten-Server:
> Internet: https://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png
> HAMNET: http://karten.db0sda.ampr.org/osm/{z}/{x}/{y}.png (kein Loadbalancing so einfach möglich)

Referenz: https://github.com/osmdroid/osmdroid/wiki/Map-Sources"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-05-07 11:02:57,Merge Dap4j1,[],0,Finally transfer to library
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-05-07 12:48:24,Betrifft: URL-Unterscheidung HAMNET/Internet,"[Label(name=""enhancement""), Label(name=""new feature"")]",0,"Hier nochmal die Übersicht für die URLs von Munin-Grafik und Kachel-Server

Unterscheidung:
HAMNET: Wenn API Server URL innerhalb von 44.0.0.0/8, oder Domain-Name enthält ``.ampr.org``
Internet: Sonst

URL Karten-Server:
Internet: https://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png
HAMNET: http://karten.db0sda.ampr.org/osm/{z}/{x}/{y}.png  (kein Loadbalancing so einfach möglich)

Munin-URL: Siehe #55 

Abdeckungskarten (#54):
Internet (Beispiel für db0sea): https://hampager.de/assets/coverage/on0sea.png
HAMNET (Beispiel für db0sea): http://dapnet.db0sda.ampr.org/assets/coverage/on0sea.png"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-04-13 12:28:12,Osmdroidv2,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-05-07 12:08:54,Zurück-Button,"[Label(name=""bug"")]",1,"Wenn man die Calls oder die Karte aufgerufen hat, und den Zurück-Button drückt, minimiert sich die ganze App, statt das die Start-Ansicht angezeigt wird."
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-05-07 12:41:33,Switching from hampager.de to dapnet.db0sda.ampr.org,"[Label(name=""question"")]",0,"Kann es sein, dass automatisch von der Internet- auf die HAMNET-Adresse gewechselt wird, dann aber nicht wieder zurück? Ich hatte schon öfter, dass der Zugriff nicht mehr ging und wenn ich mich dann ab- und angemeldet habe, war der HAMNET-Eintrag ausgewählt."
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-02-22 09:31:33,"Add debug build, leakcanary etc",[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-05-07 11:42:53,DAPNET API-Client in eigene library auslagern,[],0,"Für bessere Modularität wäre es passend, alle API Calls als library zu implementieren und dieser ihr eigenes Repository zu geben. Sie sollte weiterhin Retrofit verwenden und über maven und gradle erreichbar sein."
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2018-04-16 07:36:53,Neue URL für Munin-Statistik,"[Label(name=""enhancement"")]",0,"Bitte dies als neue URL benutzen. Falls zwischen Internet und HAMNET unterschieden wird:
https://www.afu.rwth-aachen.de/munin-cgi/munin-cgi-graph/db0sda.ampr.org/dapnet.db0sda.ampr.org/dapnet-week.png

http://db0sda.ampr.org/munin-cgi/munin-cgi-graph/db0sda.ampr.org/dapnet.db0sda.ampr.org/dapnet-week.png

Sonst nur die www.-URL
"
DecentralizedAmateurPagingNetwork/DAPNETApp,open,,Abdeckungskarten,"[Label(name=""enhancement"")]",0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-30 08:30:10,Fix autocorrect errors,[],0,"Postcallactivity, callsigncompletion: Mindestens ein Keyboard versucht autocorrect zu benutzen und behält den getippten text trotz hinzufügen eines Tokens bei."
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-22 14:48:01,Snackbars unter softbuttons,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-22 14:15:11,Nur valide Callsigns in UI erlauben,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-16 12:53:33,App Shortcuts,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-16 12:10:50,Reex,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-15 10:58:13,Closes #31,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-09 13:45:12,"Implement first working version of caching, could be rewritten",[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-03 10:27:34,MapFragment not showing transmitters,[],0,
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-03 12:30:59,Bei Calls gibt es 400 Fehler wenn man nicht einen Eintrag aus der Liste auswählt,"[Label(name=""bug"")]",1,"Wenn man auf senden drückt, bevor ein Eintrag aus der Liste ausgewählt ist, kommt 400.
"
DecentralizedAmateurPagingNetwork/DAPNETApp,closed,2017-11-08 15:26:42,Sendergruppe all automatisch vorschlagen,"[Label(name=""enhancement"")]",0,"Neue User wissen nicht, dass die Eingabe von ""ALL"" zum Ziel führt. Daher bitte dies als Default eintragen und nach Druck auf das Feld die anderen anzeigen."
