repository,state,closed_at,title,label,is_bug,body
HugoGresse/Anecdote,closed,2018-05-21 11:53:20,Added Dutch translation,[],0,:)
HugoGresse/Anecdote,closed,2018-05-24 05:01:38,New logo design for the project,[],0,"Hi, I want to design a new logo for the project completely free..."
HugoGresse/Anecdote,closed,2018-04-26 15:50:21,gradient grey overlay bottom button zone when zooming in images,"[Label(name=""bug"")]",1,"Using the up-to-date fdroid version of anecdote, i can zoom in pictures (CommitStrip,...)

However, when doing this, the image comes full screen but an overlay of gradient gray subsides with sharing components at the bottom.

I'll update and post a screenshot, better than a thousand words, when i get back to a computer."
HugoGresse/Anecdote,closed,2018-03-19 13:12:09,Can't zoom in pictures,[],0,It would be nice to be able to zoom on a picture when opened in full-screen. At the moment the picture take all possible space but sometimes it is quite hard to read a CommitStrip for example. 
HugoGresse/Anecdote,open,,NSF not working anymore,[],0,"First of all thanks for your great app.

Unfortunately, the app do not load Nuit Sans Folie anymore (error 406), et c'est vraiment dommage :(."
HugoGresse/Anecdote,closed,2018-01-31 12:39:51,remove codesponsor,[],0,Pull request automatically sent by knewzen <https://github.com/knewzen>. Because Code Sponsor is shutting down on December 8
HugoGresse/Anecdote,closed,2018-10-29 12:45:52,V1.2.2,[],0,"- exoplayer 2
- fix for accept */* for NSF"
HugoGresse/Anecdote,open,,Add DTC comments with DTCrawler,"[Label(name=""enhancement"")]",0,"Salut, je sais pas si tu travailles encore sur le développement d'Anecdote mais je me demandais si il était possible que tu rajoutes les commentaires des quotes.
Je suis tombé sur [DTCrawler ](https://github.com/Emeraude/DTCrawler) qui permet de créer une API qui renvoie du JSON avec toutes les infos d'une quote (ses commentaires, ses votes, etc..)
Merci"
HugoGresse/Anecdote,open,,VDM/FML Notice of default,[],0,"I was noticed by Beta & Compagnie that I'm no longer allowed to use VDM/FML brand and their content within the app. I'll try to find a solution with them. In the meantime, if you have any good arguments or precedent issue like this, let me know. "
HugoGresse/Anecdote,closed,2017-06-27 07:18:09,Russian translation update,[],0,Very small changes actually.
HugoGresse/Anecdote,closed,2017-06-25 20:19:46,Favoris,[],0,"- use ObjectBox to store Anecdote
- favorites are dynamically injected into received Anecdote
- DI using Toothpick
- other improvements"
HugoGresse/Anecdote,closed,2017-06-15 08:29:55,Add legal attribution,[],0,See https://play.google.com/intl/en_us/badges/
HugoGresse/Anecdote,closed,2017-04-11 09:21:26,Update german translation,[],0,
