repository,state,closed_at,title,label,is_bug,body
MarcelJurtz/MTG_LifeCounter,open,,Update CircleCI Configuration,[],0,"* Break Build on Lint Errors
* Treat Warnings as Errors"
MarcelJurtz/MTG_LifeCounter,closed,2018-01-19 17:21:53,Todo for counter manager,"[Label(name=""enhancement"")]",0,"- [x] Wrap up counter manager to always use 4 players, no matter what gamemode is currently active
- [x] Add naming customization option for all for players
- [x] Add an option to remove a player completely
- [x] Add an option to remove a counter
- [x] Add an option to increase / decrease a counters value. This should be possible in a quick, easy and intuitive way
- [x] Add useful naming conventions on methods for view & presenter
  "
MarcelJurtz/MTG_LifeCounter,open,,Fix display of 4 player color selection when using smaller screens,"[Label(name=""bug"")]",1,
MarcelJurtz/MTG_LifeCounter,closed,2018-10-14 09:59:01,French translation,[],0,
MarcelJurtz/MTG_LifeCounter,open,,Fix poison functionality for 4 player mode,[],0,Players 2 & 4 not working
MarcelJurtz/MTG_LifeCounter,open,,Fix plus/minus imagebutton alignment,[],0,see #18
MarcelJurtz/MTG_LifeCounter,open,,fix 4 player poison alignment of buttons,[],0,
MarcelJurtz/MTG_LifeCounter,open,,Implement Instant Apps,"[Label(name=""enhancement"")]",0,
MarcelJurtz/MTG_LifeCounter,open,,Update NavigationDrawer to look better,[],0,
MarcelJurtz/MTG_LifeCounter,open,,Move screen always on to customizable stuff,[],0,Users should be able to decide wether this feature is enabled or not.
MarcelJurtz/MTG_LifeCounter,closed,2017-09-02 12:40:27,Prevent colors from resetting each game,[],0,
MarcelJurtz/MTG_LifeCounter,closed,2017-09-02 12:40:27,Implement MVP-approach for cleaner code,"[Label(name=""enhancement"")]",0,
MarcelJurtz/MTG_LifeCounter,closed,2017-07-27 12:29:33,Maintenance,[],0,"* Updated gradle
* Replaced LinearLayout by RelativeLayout and adjusted controls display for tablets / larger screens"
MarcelJurtz/MTG_LifeCounter,closed,2017-07-27 18:31:57,Fix layout on tablets / larger screens,"[Label(name=""bug"")]",1,Lifepoint-TextView is too far on the edges
MarcelJurtz/MTG_LifeCounter,open,,Implement dice throwing,[],0,Maybe throw dices by shaking the phone?
MarcelJurtz/MTG_LifeCounter,open,,Update Settings to match general SettingsActivity,[],0,include github + contact link
MarcelJurtz/MTG_LifeCounter,closed,2017-07-16 18:38:57,Create up-to-date screenshots,[],0,
MarcelJurtz/MTG_LifeCounter,closed,2017-07-10 19:52:57,Fix resetting on app switching,"[Label(name=""bug"")]",1,
MarcelJurtz/MTG_LifeCounter,closed,2017-07-11 19:54:38,Update Settings Activity,"[Label(name=""enhancement"")]",0,"Implement classic settings activity with reset functionality, remove save / cancel buttons (replace by backwards navigation and reset button)"
MarcelJurtz/MTG_LifeCounter,open,,Add naming customization options,"[Label(name=""enhancement"")]",0,Each player could have their name displayed on their side
MarcelJurtz/MTG_LifeCounter,open,,Add support for more than two players,"[Label(name=""enhancement"")]",0,
MarcelJurtz/MTG_LifeCounter,closed,2017-07-10 19:52:57,Poison counter is not using the amount of points selected in settings,"[Label(name=""bug"")]",1,Points added / substracted which can be set in settings are not used by the poison counter.
MarcelJurtz/MTG_LifeCounter,closed,2017-06-23 12:01:36,Fix java.lang.NoClassDefFoundError,[],0,"
java.lang.NoClassDefFoundError: 
  at android.support.v7.app.AppCompatDelegateImplV7.initializePanelMenu(AppCompatDelegateImplV7.java:1194)
  at android.support.v7.app.AppCompatDelegateImplV7.preparePanel(AppCompatDelegateImplV7.java:1258)
  at android.support.v7.app.AppCompatDelegateImplV7.doInvalidatePanelMenu(AppCompatDelegateImplV7.java:1553)
  at android.support.v7.app.AppCompatDelegateImplV7.access$100(AppCompatDelegateImplV7.java:89)
  at android.support.v7.app.AppCompatDelegateImplV7$1.run(AppCompatDelegateImplV7.java:129)
  at android.os.Handler.handleCallback(Handler.java:725)
  at android.os.Handler.dispatchMessage(Handler.java:92)
  at android.os.Looper.loop(Looper.java:137)
  at android.app.ActivityThread.main(ActivityThread.java:5285)
  at java.lang.reflect.Method.invokeNative(Native Method:0)
  at java.lang.reflect.Method.invoke(Method.java:511)
  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1102)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:869)
  at dalvik.system.NativeStart.main(Native Method:0)
"
MarcelJurtz/MTG_LifeCounter,closed,2017-06-25 10:53:33,Add multi language support,"[Label(name=""enhancement"")]",0,
