repository,state,closed_at,title,label,is_bug,body
ScreamingHawk/android-slideshow,open,,Add donate button,"[Label(name=""enhancement"")]",0,"Add a button in the About page to donate (somehow). 

Options:
* PayPal
* Bitcoin
* Other cypto
* In app purchase
* Buy donation app (Need to also build the app)"
ScreamingHawk/android-slideshow,open,,#114 Rotating Phone Restarts Application fixed,[],0,
ScreamingHawk/android-slideshow,closed,2018-11-04 18:46:15,Handle null pointer exception during loading of image,[],0,
ScreamingHawk/android-slideshow,closed,2018-10-28 18:48:04,Add back button to Credits activity,[],0,I think this activity has to have a back button in appBar. I missed it when I tried to use the app
ScreamingHawk/android-slideshow,closed,2018-10-24 18:43:16,add missing items in Russian translation,[],0,Some strings were not available in the Russian translation. I added them.
ScreamingHawk/android-slideshow,open,,Add slideshow animations,"[Label(name=""enhancement""), Label(name=""help wanted"")]",0,"Add animations to slideshow. 

* Slide
* Cross fade
* Flip
* Blur
etc

Happy for this to be a Glide only setting. Should be configurable and off by default"
ScreamingHawk/android-slideshow,closed,2018-11-04 18:46:59,Last Modified Date should include year,"[Label(name=""bug""), Label(name=""good first issue"")]",1,"The last modified date should include the year. 

Easy fix. Related code: https://github.com/ScreamingHawk/android-slideshow/blob/master/app/src/main/java/link/standen/michael/slideshow/ImageActivity.java#L557"
ScreamingHawk/android-slideshow,closed,2018-09-13 19:39:37,Fix the status bar which is white in the list view,[],0,
ScreamingHawk/android-slideshow,open,,Additional Logging,"[Label(name=""enhancement""), Label(name=""good first issue""), Label(name=""help wanted"")]",0,"Should log the following for each image (at debug level). 

* File path (full)
* File name
* Size
* Dimensions

Should log the following at info level at the start of a slideshow:

* All the configurable settings"
ScreamingHawk/android-slideshow,closed,2018-09-13 19:39:38,Status bar is white in list view,"[Label(name=""bug""), Label(name=""good first issue""), Label(name=""help wanted"")]",1,"The status bar is white in the list view where it should be blue. 

This is a regression error I assume was introduced by updating the support libraries. If this is the case I'd like to fix forwards and not revert the support libraries. 

Should be a relatively easy fix. "
ScreamingHawk/android-slideshow,closed,2018-11-04 18:46:26,Handle NullPointerException on ImageActivity.loadImage,"[Label(name=""bug""), Label(name=""good first issue""), Label(name=""help wanted"")]",1,"```
Caused by: java.lang.NullPointerException: 
  at link.standen.michael.slideshow.ImageActivity.loadImage (ImageActivity.java:548)
  at link.standen.michael.slideshow.ImageActivity.onCreate (ImageActivity.java:330)
  at android.app.Activity.performCreate (Activity.java:7090)
```

Untested but this error could possibly occur when the user selects ""Play From Here"" when there is nothing in the folder. Would be nice if this `NullPointerException` was caught and the user was bounced back to the list view with a toast saying:

> No images found

or similar"
ScreamingHawk/android-slideshow,closed,2018-08-21 19:54:25,Fix sort order for Play From Here,[],0,
ScreamingHawk/android-slideshow,closed,2018-08-21 19:54:43,Fix sort order for Play From Here,"[Label(name=""enhancement""), Label(name=""good first issue""), Label(name=""help wanted"")]",0,"The `Play From Here` button currently sorts alphabetically by filename when it should sort alphabetically by path. 

This should be an easy fix by changing this line: https://github.com/ScreamingHawk/android-slideshow/blob/master/app/src/main/java/link/standen/michael/slideshow/util/FileItemHelper.java#L68

e.g.

```
a/
  1.jpg
  2.jpg
b/
  1.jpg
  2.jpg
c/
  1.jpg
  2.jpg
```

Current:
```
a/1.jpg
b/1.jpg
c/1.jpg
a/2.jpg
b/2.jpg
c/2.jpg
```

Expected:
```
a/1.jpg
a/2.jpg
b/1.jpg
b/2.jpg
c/1.jpg
c/2.jpg
```"
ScreamingHawk/android-slideshow,closed,2018-09-03 20:03:01,Add travis ci,"[Label(name=""enhancement"")]",0,https://docs.travis-ci.com/user/getting-started/
ScreamingHawk/android-slideshow,closed,2018-04-11 02:17:37,# 26 Vietnamese translation,[],0,Translated the strings.xml into vietnamese.
ScreamingHawk/android-slideshow,closed,2018-04-09 19:26:04,Change Log pop up appears twice,"[Label(name=""bug""), Label(name=""good first issue"")]",1,"When using the `autoStart` feature, the change log pop up appears twice. 

A check needs to be added to see if the pop up is currently shown and not show it if it is. 

Would be nice to have this pop up on the ImageActivity too but that's a nice to have extra. "
ScreamingHawk/android-slideshow,open,,Rotating Phone Restarts Application,"[Label(name=""bug""), Label(name=""help wanted"")]",1,"***Expected Behavior***

Just like some similar apps, regardless of the orientation, users should be able to use the App without any errors 

***Actual Behavior***

When in a folder of where pictures are stored, and the device orientation goes landscape, it would take users to the root folder and start all over again..... 



***How to produce the bug***

* Open the app 
* Locate and select any folder where images are stored 
* Rotate screen
* It would take you to the root folder where you have to start all over again 

 

***TEST TOOLS***

* Operating system : Android 6.0
* Phone : Infinix hot s
* Slideshow v2.5.0


***Recording of the bug is showned below......***



Watch the video below to see how it behaves.... 

https://youtu.be/JQQi_rgEZB0

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@beckysophie/slideshow-app-goes-to-the-root-folder-unexpectedly"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
ScreamingHawk/android-slideshow,closed,2018-10-16 18:34:03,Crossfade,"[Label(name=""enhancement"")]",0,"Would be cool to have a crossfade between images. 

Note: Glide only. "
ScreamingHawk/android-slideshow,open,,Crash when viewing high quality images,"[Label(name=""bug""), Label(name=""question"")]",1,"
#### Expected behavior

+ The App should be able to view a slideshow of any directory. 

#### Actual behavior

+ The App is not able to view a slideshow of high quality images, when we open any high quality image directory The App Crashes and we are not able to view slideshow of high quality image directory. 

#### How to reproduce

[Download](https://f-droid.org/app/link.standen.michael.slideshow) the App. 

+ Launch the app. 

+ Open any high quality image directory. 

+ Click on any image, after few seconds app Crashes and we are not able to view slideshow of high-quality image directory. 


* Application : Slideshow, Version :2.5.0

* Operating system:Android Nougat (7.0)

#### Recording Of The Bug
https://youtu.be/evad02j1MAs    

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@wanizubair/slideshow-stopped-while-opening-any-high-quality-image-directory-for-slideshow-view"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
ScreamingHawk/android-slideshow,closed,2018-03-21 18:15:58, #26 Swedish translations,[],0,
ScreamingHawk/android-slideshow,closed,2018-03-18 08:03:58,#106 Added null check to image loading,[],0,"I just added the the null check and the `callback.clearLoadingSnackbar();`
Maybe if you want I could add some logging similar to how it is in GlideImageStrategy.java: 
`Log.e(TAG, ""Error loading image"", e);`"
ScreamingHawk/android-slideshow,closed,2018-04-09 00:20:44,Image orientation,"[Label(name=""bug"")]",1,I have image libraries with mixed portrait and landscape images. It would be most convenient if Slideshow could automatically orient these correctly. I can't seem to find any existing option for this aside from unlocking phone orientation and turning it as needed per picture. 
ScreamingHawk/android-slideshow,open,,Add WebM support,"[Label(name=""enhancement""), Label(name=""help wanted"")]",0,I think it would be awesome if the App could play .webm files. 
