repository,state,closed_at,title,label,is_bug,body
T-Rex96/Easy_xkcd,open,,"Build fails with ""duplicate value for resource"" errors",[],0,"I'm unable to build and without build instructions I'm just taking stabs with `gradlew`. The `gradlew` in the repo came down for me as non-executable, so I'm doing a `chmod +x gradlew` first, but afterwards `./gradlew assembleDebug` is failing with errors like

```
AAPT: error: duplicate value for resource 'attr/layout_scrollFlags' with config ''.
```
how should I be building the apk?"
T-Rex96/Easy_xkcd,open,,Hiding the Action Bar subtitle is broken,[],0,The subtitle should disappear and the number should be added to the comic title.
T-Rex96/Easy_xkcd,open,,Translations are out of date,[],0,"@svetlemodry 
@ludoux 
@giobeatle1794 
@pejakm 

"
T-Rex96/Easy_xkcd,closed,2018-11-24 20:40:19,Some comics are not rotated properly,[],0,Some xkcd comics such as 104 are upside down.
T-Rex96/Easy_xkcd,closed,2018-08-08 09:26:03,Fixes #134 : app crash when removed from Favorites,[],0,When there are no favorites the FavoritesFragment gets hidden and ComicBrowser is shown. The issue is resolved by removing FavoritesFragment from the activity instead of hiding it.
T-Rex96/Easy_xkcd,closed,2018-08-08 12:20:44,Add an option to disable Custom Tabs,[],0,"I have several browsers installed, however, Fennec is the only one that supports Custum Tabs.
So, whenever I press Explain Commic, it always opens the explanation as a Fenec Custom tab.
However, I want to be able to read the explanation in another browser, without opening the custom tab and clicking ""Open in..."" first, which also creates a history entry in Fennec.
For example, when I press ""Menu > Open Reddit/Forum > Redit"", it just asks me which browser to open.
I'd like an option for the same behaviour when I click Explain Comic."
T-Rex96/Easy_xkcd,closed,2018-08-16 21:06:50,update gradle and dependencies,[],0,also compile is deprecated now so implementation is there
T-Rex96/Easy_xkcd,closed,2018-11-04 22:03:44,no tag for version 6.1,[],0,"F-Droid didn't detect this version for some reason so couldn't build it until now.

Could you add a tag for this?"
T-Rex96/Easy_xkcd,open,,Large or high aspect ratio comic images don't display on a Nexus 7(2012) Android 7.1.2,[],0,"This appears to be an OpenGL issue. I looked at the source code and noted you have a [debug log](https://github.com/T-Rex96/Easy_xkcd/blob/091f3e8af89dd59aadda2b9df33c636d46d02398/app/src/main/java/de/tap/easy_xkcd/fragments/comics/ComicBrowserFragment.java#L270) after the image is displayed. The latest comic that doesn't display is 2002. I can see items in the log for the adjacent comics, but not that one, although 1998, GDPR appears in the log but doesn't display. This log was produced by scrolling through recent comics and using `adb logcat | grep xkcd`.
```shell
06-08 10:09:22.882  4605  4605 D url:    : https://imgs.xkcd.com/comics/xkcd_phone_2000_2x.png
06-08 10:09:23.722  4605  4605 D url:    : https://imgs.xkcd.com/comics/selection_effect_2x.png
06-08 10:09:26.102  4605  4605 D url:    : https://imgs.xkcd.com/comics/sun_and_earth_2x.png
06-08 10:09:27.483  4605  4605 D url:    : https://imgs.xkcd.com/comics/selection_effect_2x.png
06-08 10:09:41.417  4605  4605 D url:    : https://imgs.xkcd.com/comics/sun_and_earth_2x.png
06-08 10:20:05.242  4605  4605 D url:    : https://imgs.xkcd.com/comics/selection_effect_2x.png
06-08 10:20:07.918  4605  4605 D url:    : https://imgs.xkcd.com/comics/sun_and_earth_2x.png
06-08 10:24:44.759  4605  4605 D url:    : https://imgs.xkcd.com/comics/selection_effect_2x.png
06-08 10:24:50.421  4605  4605 D url:    : https://imgs.xkcd.com/comics/gdpr_2x.png
06-08 10:24:56.428  4605  4605 D url:    : https://imgs.xkcd.com/comics/presidential_succession_2x.png
06-08 10:25:33.475  4605  4605 D url:    : https://imgs.xkcd.com/comics/gdpr_2x.png
06-08 10:25:34.776  4605  4605 D url:    : https://imgs.xkcd.com/comics/business_update_2x.png
06-08 10:25:48.377  4605  4605 D url:    : https://imgs.xkcd.com/comics/morning_news_2x.png
06-08 10:25:54.478  4605  4605 D url:    : https://imgs.xkcd.com/comics/mc_hammer_age_2x.png
06-08 10:25:56.731  4605  4605 D url:    : https://imgs.xkcd.com/comics/xkcd_phone_2000_2x.png
```
The above log items are interspersed with  large numbers of OpenGL warnings, which all appear to be the same...
```shell
06-08 10:09:41.339  4605  4626 W OpenGLRenderer: Bitmap too large to be uploaded into a texture (1206x2536, max=2048x2048)
06-08 10:09:41.340  4605  4626 W OpenGLRenderer: Bitmap too large to be uploaded into a texture (1206x2536, max=2048x2048)
06-08 10:09:41.340  4605  4626 W OpenGLRenderer: Bitmap too large to be uploaded into a texture (1206x2536, max=2048x2048)
06-08 10:09:41.357  4605  4626 W OpenGLRenderer: Bitmap too large to be uploaded into a texture (1206x2536, max=2048x2048)
```"
T-Rex96/Easy_xkcd,closed,2018-08-08 09:26:03,app crash when removed from Favorites ,[],0,"#### Expected behavior
this app shouldn't be crash while click on remove from favourite and rotated phone from portrait to landscape .

#### Actual behavior
when i  click on remove from favorites button and i rotated my phone from portrait to landscape after remove it occurs to crash .

#### How to reproduce
* download the app
* open it then select a comics to add favorites
* now go to **Favorites** and click on remove (love) icon to remove 
* rotated your phone from portrait to landscape when comics reomved
* note the bug

> Browser/App version: 6.0.4
 Operating system: android 6.0

#### Recording Of The Bug
https://www.youtube.com/watch?v=3R2dN_UrNOQ
"
