repository,state,closed_at,title,label,is_bug,body
TheTorProject/ooniprobe-android,open,,Delete scripts and files that have been migrated to ooni/translations,[],0,"All app translations shall from now on be managed via: https://github.com/ooni/translations.

In this branch I delete all the deprecated code to avoid duplication."
TheTorProject/ooniprobe-android,open,,Verbose logs should use the maximum verbosity of MK,"[Label(name=""bug"")]",1,
TheTorProject/ooniprobe-android,closed,2018-11-17 14:16:30,Release/2.0.0,[],0,
TheTorProject/ooniprobe-android,open,,test non-existent domains,[],0,Are there any tests that try to check if your service provider redirects bad domain names to something else?  I would think you'd want a few completely made up domains that do not exist so you can see if DNS manipulation is being done.
TheTorProject/ooniprobe-android,closed,2018-11-09 11:31:11,Update/mk,[],0,
TheTorProject/ooniprobe-android,closed,2018-10-22 19:41:55,Fix/receiver crash,[],0,
TheTorProject/ooniprobe-android,closed,2018-10-12 11:15:14,Wrong version date in releases,[],0,"All releases of 2018 have a wrong release date (year) set:
`ooniprobe-android 1.3.0+21 [2017-01-12]`
`ooniprobe-android 1.3.1+24 [2017-01-30]`
`ooniprobe-android 1.3.2+27 [2017-05-16]`"
TheTorProject/ooniprobe-android,open,,Update version in F-Droid,[],0,It seems that the latest version of ooniprobe-android is outdated as of today version 24 is in [F-Droid repository](https://f-droid.org/packages/org.openobservatory.ooniprobe/).
TheTorProject/ooniprobe-android,closed,2018-09-25 21:35:04,Update/measurement kit 0.9,[],0,
TheTorProject/ooniprobe-android,closed,2018-09-12 06:03:20,Update/settings screen,[],0,
TheTorProject/ooniprobe-android,closed,2018-08-12 17:21:17,Release/2.0.0,[],0,
TheTorProject/ooniprobe-android,closed,2018-11-08 22:31:58,Clients should never register twice,[],0,"Currently the OONI Probe Android app will sometimes end in a race condition and registering twice or even more times.

The apps should have a mutex lock for registration requests and wait on the lock before issuing another request to create an account.

On Android I see that there are 90'000+ duplicate accounts.

xref: https://github.com/ooni/probe-ios/issues/180"
TheTorProject/ooniprobe-android,open,,Allowing users to select NDT server will be top,"[Label(name=""wishlist"")]",0,"I was browsing through the OONI Probe reviews on the Play Store, and noticed a user who expressed this specific feature request. I'm not sure this can be done easily and soon, but let's track it."
TheTorProject/ooniprobe-android,closed,2018-05-31 11:59:09,Refactor/virgin,[],0,
TheTorProject/ooniprobe-android,closed,2018-05-16 07:14:43,Update/libraries,[],0,
TheTorProject/ooniprobe-android,closed,2018-04-16 13:27:20,[Request] Check Signal Messenger,"[Label(name=""duplicate"")]",0,"Can you please also add Signal messenger in the instant messaging checking section.
Thanks"
TheTorProject/ooniprobe-android,open,,Some compatibility issues,[],0,"Hi,

I noticed that you have used `onReceivedError(WebView view, WebResourceRequest request, WebResourceError error)` in the class `BrowserActivity` to show a network error in webview window.

For your reference, `onReceivedError(WebView view, WebResourceRequest request, WebResourceError error)` is added in API version 23. For the devices with API version <=22, `onReceivedError(WebView view, WebResourceRequest request, WebResourceError error)` does not work because there is no such a method. (See this [link](https://stackoverflow.com/questions/32769505/webviewclient-onreceivederror-deprecated-new-version-does-not-detect-all-errors))

A possible fix is to add deprecated method `void onReceivedError (WebView view, int errorCode,String description,String failingUrl)` since this method supports all API versions.

Hope this information can help you. Thanks."
