repository,state,closed_at,title,label,is_bug,body
TripSit/tripmobile,open,,Adding username set/get,[],0,"I had to change some SDK versions again to get it working, so some android expert can take a look and fix. "
TripSit/tripmobile,open,,Updated de (German) translation,[],0,
TripSit/tripmobile,closed,2018-05-20 20:25:49,"Enabling local storage, modernizing progress color",[],0,I adjust someone who is more expert at Android double check my changes :)
TripSit/tripmobile,closed,2017-04-25 21:05:25,Make the wiki open for anyone to edit,[],0,"Currently it's **extremly** hard to reach someone to give you editing permission to the wiki. I've tried a number of times and eventually gave up; This is completely counter productive and nonsense in my opinion. You waste the time of people that want to help, and you waste material that could be added to those people when they give up.

* Why is not the forum open to edit for anyone?

* Can you please give everyone edit permission?

* Can you at least add an email that can be used to request editing permission on the wiki; eg create admin@wiki.tripsit.me and add it to the [login](https://wiki.tripsit.me/wiki/Special:UserLogin) page?"
TripSit/tripmobile,open,,TripSit KVIrc on GitHub?,[],0,Where is the bug tracker for [TripSit KVIrc](https://tripsit.me/tripsitapp/)?
TripSit/tripmobile,open,,Local database,[],0,"You need a internet connection to use TripSit but not everyone has access to it all the time.

Have you considered making https://f-droid.org/repository/browse/?fdfilter=tripsit&fdid=me.tripsit.tripmobile offline compatible?
"
TripSit/tripmobile,closed,2017-03-05 00:54:45,Fixed failing build,[],0,
TripSit/tripmobile,closed,2017-03-10 20:11:58,Build broken,[],0,"Hello,

with rev 13a05f54bd35e3a7aff8d86937a6a607eefd22ab the build got broken. BackgroundAnimation is still referenced in /app/src/main/java/me/tripsit/mobile/combination/CombinationActivity.java

Thus build is broken."
TripSit/tripmobile,closed,2017-03-01 14:49:25,Update LICENSE to GPL v3,[],0,
TripSit/tripmobile,closed,2017-03-01 14:50:23,Not free Software,[],0,"I want to bundle this App for F-Droid ( https://f-droid.org ). Infact, I already got a working build recipe.

The only problem with this app is its licence. This app is not free software and the choice of licence is not verry wise. See: https://wiki.creativecommons.org/index.php/Frequently_Asked_Questions#Can_I_apply_a_Creative_Commons_license_to_software.3F

For a list of compatible linceces see https://f-droid.org/wiki/page/Inclusion_Policy and especially https://www.gnu.org/licenses/license-list.html#GPLCompatibleLicenses .

A licence change requires that all developers who already contributed agree with this change.
"
TripSit/tripmobile,closed,2016-07-29 22:44:52,build generated,[],0,"added crash reporting to the generated build (code can be seen in pr)
"
TripSit/tripmobile,closed,2016-07-13 08:15:50,Merge pull request #1 from TripSit/master,[],0,"merge
"
TripSit/tripmobile,closed,2016-07-12 21:57:45,Combo fix,[],0,"Major changes are
- removed .idea folder - this is generated by Gradle when opening the project for the first time
- added a CombinationActivity which uses the tripbot api rather than the combos.json object
- a new combination category (caution) will need adding to separate translation documents
- changed some style parents to use appcompat styles - themes unaffected
- changed activity parents to use appcompat activity - brings in bugfixes for older platforms
"
TripSit/tripmobile,closed,2016-09-13 08:58:42,Update combinations to new version ,[],0,"Currently it's on http://tripsit.me/combo.json while it needs to be on http://tripsit.me/combo_beta.json - easy change, but you'll notice the format has subtley changed so that needs to be accounted for too. Let me know if you need any more info
"
TripSit/tripmobile,open,,Add a setting for the user to choose their default irc nick,"[Label(name=""enhancement"")]",0,
TripSit/tripmobile,closed,2015-08-19 07:37:21,Changed Factsheets list style.,[],0,"Minor performance adjustments too. Not sure why I made LinearLayout explicit in the adapter.
"
TripSit/tripmobile,closed,2015-04-12 11:46:35,Pressing back from the chat allows you to open multiple chat instances,"[Label(name=""bug"")]",1,"Steps to replicate:
1. Click on Chat
2. Click start to join the channel
3. Press the back button on android device
4. Repeat steps 1 & 2

This leaves 2 chat windows open, when really we want to be resuming the previous session.
"
TripSit/tripmobile,closed,2015-04-12 12:52:57,Release,[],0,"I'm using this issue to keep track of the things we need to do for release on the Google Play store:
- [x] Change logo back to TS with no background
- [x] Create screenshots to advertise on store
- [x] Disable logging (android:debuggable = false)
- [x] Remove anything in the src directory which doesn't need to be released (e.g. vector images)
- [x] Set version to 1.0.0
- [x] Submit to store and fill out description and other necessary content
- [x] Fill out the content rating questionnaire (https://support.google.com/googleplay/android-developer/answer/188189)
- [x] Release in alpha
- [x] Release in beta
- [x] Release
"
TripSit/tripmobile,closed,2015-03-29 21:24:22,Merge Languages branch,[],0,
TripSit/tripmobile,closed,2015-03-28 11:03:36,Adding links to factsheets text,[],0,"Untested at the moment...Adding links to factsheets text so that we can click on wiki pages etc...
"
