repository,state,closed_at,title,label,is_bug,body
VREMSoftwareDevelopment/WifiAnalyzer,open,,MAC vendor search is case sensitive,"[Label(name=""bug"")]",1,"**Please search issues (open and closed) to see the issues has already been reported.**

**Is your feature request related to a problem? Please describe.**
In #145 a hardware address vendor search was added, which I highly appreciate.

However, as already stated in one of the comments, the search is case sensitive, it only works if you type upper case letters. That breaks user expectations and is cumbersome to type with some keyboards.

I consider that a bug, because lower case letters are perfectly valid for a hexadecimal value.

**Describe the solution you'd like**
Please make hardware address input/search case insensitive!

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**How I can help**
A clear and concise description of what you can do to help.

**Additional context**
Add any other context or screenshots about the feature request here.

**Provide Device/Android OS information**"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-27 23:34:38,Improve french translation,[],0,"The label of the menu item used to share the results is ""Exportation""
It should be ""Partager""

I've not found translation strings in the repository to do the PR
"
VREMSoftwareDevelopment/WifiAnalyzer,open,,Location Service Permission requirements need better information in the app,"[Label(name=""enhancement"")]",0,"The latest update I got now requires network location access. Denying it causes the app to close. Why is this permission now needed and why is it required?

[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.

**Provide Device/Android OS information**
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-22 01:12:28,v2.0.3?,[],0,"Why is v2.0.3 only in the Play Store? I need the normal apk (instead of ""split apk"" done by Google). Thanks.

[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.

**Provide Device/Android OS information**
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-22 01:13:45,Wavelength units are wrong.,[],0,"[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
Wavelengths are provided for each channel.  They're listed as meters, but would be numerically correct if the units were centimeters (at least in 5GHz band - didn't check 2.4)

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Note**
Some behaviour only occurs on certain devices or versions of Android, please provide the following screenshots/information Device/Android OS (Settings → About Phone) and WiFi Analyzer version (Menu -> About)

**Additional context**
Add any other context about the problem here.
"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-17 01:05:33,Add fallback to use CHANGE_WIFI_STATE permission if geolocation not allowed on Android 8,[],0,"**Please search issues (open and closed) to see the issues has already been reported.**

**Is your feature request related to a problem? Please describe.**
Latest update in Google Play (2.0.2) makes this app hard to use with Android 8 (at least): you need to grant geolocation permission, enable geolocation, change geolocation from ""gps only""...

**Describe the solution you'd like**
Can you use CHANGE_WIFI_STATE permission to scan WiFi as fallback if no geolocation permissions granted instead of closing the app?
I ask this question because all worked perfectly without geolocation before 2.0.2

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**How I can help**
A clear and concise description of what you can do to help.

**Additional context**
Add any other context or screenshots about the feature request here.

Device: SM-N960F, Android 8.1.0"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-09 00:13:38,Added location permission.,[],0,"Newer versions of android 6+ require additional location permission in order to scan the wifi.

Thanks for sending a pull request!

[How to submit a pull request](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Pull-Request)

**What does this implement/fix? Please describe.**
Works on Android p.

**Does this close any currently open issues?**
#215

**Additional context**
none

**Where has this been tested?**

"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-27 23:41:15,Add Portuguese (pt-rPT) translation,[],0,"Hello,

regional Portuguese has some words and expressions that are quite different from Brazilian, therefore I thought that making a pt-rPT was a good contribution.

Kind regards

"
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-11-11 12:15:07,Graphs don't update after opening settings ,"[Label(name=""bug"")]",1,"[How to report a bug](https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/wiki/Feedback)

**Please search issues (open and closed) to see the issues has already been reported.**

**Describe the bug**
When viewing either graph, if you open settings, and then hit back, the graph no longer updates or responds to user input. The issue also happens in the channel rating view and also happens with the about page.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Screenshots**

![screenshot_20181021-133327](https://user-images.githubusercontent.com/17463126/47271598-1f036080-d538-11e8-9e1d-38c59819401a.png)

Device: Google Pixel XL
Android version: 9
App version: 2.0.1 42S (9-28)

**Additional context**
Add any other context about the problem here."
VREMSoftwareDevelopment/WifiAnalyzer,closed,2018-10-24 23:03:20,Add missing permission for Android 9.0,[],0,"**What does this implement/fix? Please describe.**
This PR fixes the failure to scan wifi networks on the Oneplus 6 with Android 9 (Pie).

**Does this close any currently open issues?**

This fix is an addition to issue #202.

**Additional context**
The ACCESS_FINE_LOCATION permission is required for the wifi scan to
work on the Oneplus6 with Android 9.0. Without this permission, the
following errors are triggered:

    E/libc: Access denied finding property ""vendor.perf.iop_v3.enable""
    E/libc: Access denied finding property ""vendor.perf.iop_v3.enable.debug""

Both other permissions are still required for the scan to work.

**Where has this been tested?**
- Operating System: OxygenOS 9.0 (Android 9.0)
- Platform: Oneplus 6 (Model number: `ONEPLUS A6007`)
- Target Platform: 22
- Toolchain Version: 28.0.2
- SDK Version: 27
"
