repository,state,closed_at,title,label,is_bug,body
greenaddress/GreenBits,closed,2018-11-15 12:42:55,Where is the repo for the iOS version?,[],0,"keep up the good work, we need it :+1: "
greenaddress/GreenBits,open,,Sweep functionality doesn't scan segwit adresses.,[],0,"For a bitcoin paperwallet giveaway someone sent some bitcoin to different addresses using bitcoin core, then manually exported the private keys and printed them as QR codes on paper.
Other wallets (edge) were able to find the funds and sweep to the local wallet, not so greenbits.
This is for the p2sh(p2wkh) version of segwit. Probably native version doesn't work either."
greenaddress/GreenBits,closed,2018-10-02 13:50:02,wallet code sms ,[],0,Hi.. 15 days can not receive SMS code to confirm the transfer of the BTC .when will work 2 FA SMS ? I need the money .help . thank you
greenaddress/GreenBits,open,,authentication invalid after being open for a long idle time,[],0,"when I try to open greenbits after a long idle time it tries to authenticate and gives wrong pin answer. i don't touch the fingerprint scanner.
after leaving the screen and reentering, I scan the fingerprint and it gives invalid pin again.
I need to close the app and restart it to be able to authenticate."
greenaddress/GreenBits,open,,Disable Android 8 autofill on all EditText,[],0,"Created new style for API 26 and disabled the autofill for all EditText (ref. https://developer.android.com/guide/topics/text/autofill)

This is a proposal, if you prefer eventually we can disable autofill only for a specific fields."
greenaddress/GreenBits,closed,2018-11-28 13:19:25,Request incognito keyboard on sensitive fields,[],0,
greenaddress/GreenBits,open,,Select the current network on network dialog,[],0,
greenaddress/GreenBits,open,,Debug build and icons,[],0,"- added **.debug** suffix to package name and **-debug** to app version
- updated icons to new adaptive icons introduced in Android 8 ( ref. https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive )
- use different icon for release and debug build target"
greenaddress/GreenBits,closed,2018-11-28 13:26:13,Circularbutton fix and features,[],0,
greenaddress/GreenBits,closed,2018-08-21 13:48:48,Resolve Lint,[],0,"* fix gradle lint errors reported in lint-results.html
* removed deprecated resources
* add lint options to gradle.build
* run lint before assembling production release on gitlab-ci and travis"
greenaddress/GreenBits,closed,2018-08-20 09:26:07,Fix German locale: Spelling and grammar,[],0,"I just found some spelling and grammar mistakes that made it hard to understand for German native speakers (like me) and fixed them.
I hope, this is easier to understand for others as well.

Thank you!"
greenaddress/GreenBits,closed,2018-08-20 09:25:40,Passwords should be invisible to the accessibility services,[],0,"Due to recent attacks, malicious apps that are using the accessibility service can capture all user inputs. In this case, the passwords should be ignored for the accessibility service, so such attacks cannot happen. This is done by our research project in CISPA, Saarland University, Germany."
greenaddress/GreenBits,closed,2018-07-23 09:47:09,Cache local encryption password to prevent HW wallets causing timeouts,[],0,
greenaddress/GreenBits,closed,2018-07-23 15:12:07,Remove old manual checking for connectivity on pin login,[],0,The pin login code already handles disconnection correctly by closing the activity so this should prevent UI timeout crashes.
greenaddress/GreenBits,closed,2018-07-22 14:32:33,Trezor updates,[],0,"Fixes bech32 sending, updates firmware and adds support for Trezor v2."
greenaddress/GreenBits,closed,2018-07-22 14:33:05,Prevent an NPE on the PIN entry screen when restored,[],0,
greenaddress/GreenBits,closed,2018-07-22 14:33:58,Reconnect on HW wallet plugin if the user previously logged out,[],0,
