repository,state,closed_at,title,label,is_bug,body
marunjar/anewjkuapp,open,,Support Moodle calendar,[],0,"What do you think of the idea of adding support for the moodle calendar?
Since the DSGVO somehow enforces the professors to use moodle instead of the institute's own solution, its calendar contains a quite useful list of assignment deadlines.
I already managed to get the ical from moodle without any user interaction, but I have no idea how to include it into this app...

[MoodleCalendar.java](https://github.com/fsteff/anewjkuapp/blob/56e0f90faabe0ac89cef38e4dda3cc5f6d728a84/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/moodle/MoodleCalendar.java)"
marunjar/anewjkuapp,closed,2018-04-17 15:45:28,Dev,[],0,"- fix calendar permissions
- fix loading from kusss
- new map"
marunjar/anewjkuapp,closed,2018-11-17 10:21:37,Login is not stored on phone,[],0,"Login with wrong student number/password returns an error as expected.
When I enter the correct data, I come to the normal screen. But it's not possible to view any data at all. Furthermore the header says: ""please login"", like no login was added.

With ```adb logcat *:D``` I found some interesting line:

```
03-01 17:11:02.631 21829 21829 I KusssAuthenticatorActivity: finish login to 15*****
03-01 17:11:02.637  2264  3165 W AccountManagerService: insertAccountIntoDatabase: Account {name=15*****, type=org.voidsink.anewjkuapp.account}, skipping since the account already exists
```

But when I looked into the account section of the Settings, ```JKU App``` does not show any accounts added for this app. And the app itself also does not find any accounts to use because the login window is showed at the start.

### System informations

Device: Xperia Z
Android-Version: 7.1.2
LineageOS-Version: 14.1-20190224-NIGHTLY-yuga
LineageOS API-Level: Guava (7)
Current Status of security updates: 5. February 2018
Kernel Version: 3.4.113
SELinux: Strict
Encryption: Yes
"
marunjar/anewjkuapp,closed,2018-02-14 19:09:21,merge dev branch,[],0,"fix event loading
get missing lvas from assessments"
marunjar/anewjkuapp,closed,2018-02-08 20:16:32,fix event import,[],0,import events only for current term
marunjar/anewjkuapp,closed,2018-02-08 16:13:31,merge dev branch,[],0,"improved calendar event handling
new campus map
updated mensa parser, should work again for some time
add button to refresh menu
add link to menu on mensa homepage"
marunjar/anewjkuapp,closed,2018-01-21 19:06:58,merge dev branch,[],0,"ready for Android O
new campus map
lots of small fixes
"
marunjar/anewjkuapp,open,,0.45.4 tag doesn't include version bump,[],0,"This means that f-droid can't automatically pick up the upgrade. See https://gitlab.com/fdroid/fdroiddata/issues/912

Can you change the tag to point to https://github.com/marunjar/anewjkuapp/commit/ba10951656262a590a543796558927c35298b0fb intead?"
marunjar/anewjkuapp,closed,2017-07-23 17:21:15,merge Dev,[],0,"improved networking
improved error handling
updated campus map"
marunjar/anewjkuapp,closed,2017-06-15 18:05:25,Dev,[],0,"merge dev branch

updated map
updated libraries
fixed lint warnings/errors
cleanup"
marunjar/anewjkuapp,closed,2018-11-09 20:50:07,Timetable is deleted on refresh,[],0,"Every time the app is closed and re-opened or the timetable is being refreshed otherwise, the whole thing (including the calendar) gets deleted. 
If the app is closed while re-loading (which sometimes takes up to a few minutes) the data from kusss, the calendar stays empty. 
This problem exists since the update in january (i think). 

Also, if one double-tabs the refresh button, two entries per lva/lessonappear. 

Better: incremental update or replace when loading is finished

Edit: It appears this problem exists only on some devices - mine is a Huawei P9lite, running Android 6.0.1"
marunjar/anewjkuapp,closed,2017-03-06 20:49:29,Dev,[],0,"updated libraries
fix menu layout"
marunjar/anewjkuapp,closed,2017-02-23 22:28:32,merge Dev,[],0,"update libraries
fix calendar and event handling"
marunjar/anewjkuapp,open,,Outlook Exchange and JKU Calender goes wrong,[],0,"The synchronisation between different schedules goes wrong. Schedules from my office which are new are deleted if the app is started. This is a bad bug, because also customers and suppliers are of course informed about the cancled schedule. 
Best regards"
marunjar/anewjkuapp,closed,2017-02-11 18:40:36,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2016-11-24 21:45:57,merge Dev,[],0,"new map data from openstreetmap
save detailled location for events"
marunjar/anewjkuapp,open,,"Grades for courses, that were repeated in other semesters, count twice for statistics",[],0,"When failing a course in e.g. summer semester 2015 and then selecting the course again in summer semester 2016 but it has a slightly different name, and passing, the new grade is counted twice (once for each course) in the statistics. (Example: Algorithmen und Datenstrukturen 1 & Algorithmen und Datenstrukturen 1 (für InformatikerInnen)
"
marunjar/anewjkuapp,closed,2016-10-13 18:36:08,merge Dev branch,[],0,"updated tools
updated AndroidWeekView
fixed use of VectorDrawables
disabled oeh news
"
marunjar/anewjkuapp,closed,2016-09-15 10:44:44,merge Dev Branch,[],0,"updated libraries
fixed some exceptions
checking for network before update
"
marunjar/anewjkuapp,closed,2016-07-03 14:25:03,merge dev,[],0,"update libraries
update api version
fix notifications
new map file
"
marunjar/anewjkuapp,closed,2016-05-29 19:51:39,Dev,[],0,"merge dev branch
"
marunjar/anewjkuapp,closed,2016-07-03 16:31:28,missing rooms,[],0,"Some rooms are missing on the map:
- KHG I
- KHG II
- KEP 1
- KEP 3

(probably more http://www.jku.at/content/e213/e161/e6998)
"
marunjar/anewjkuapp,open,,Delete old Exams,[],0,"Old exams should be deleted from the exams menue, or displayed inside an extra tab.
"
marunjar/anewjkuapp,closed,2015-11-16 21:13:50,merge dev branch,[],0,"fix elliplsize bug with event titles
fix khg menu
update libs + tools
"
marunjar/anewjkuapp,open,,3 ETCS missing,[],0,"Hi,

I just realized that 3ETCS are missing in your app (and in the excel calculation I made)

The mistake I made was to convert 4,5 ETCS to 4. Could you please check, that you did indexof '/' and not indexof ',' which was causing the mistake in Excel.

Thank you :)
"
marunjar/anewjkuapp,closed,2015-10-28 14:33:19,merge dev branch,[],0,"fix ical loading ... again
update design support library
fix sync errors
"
marunjar/anewjkuapp,closed,2015-10-19 18:00:09,merge dev,[],0,"improve calendar view
fix possible npe
update libs
"
marunjar/anewjkuapp,closed,2015-10-08 17:11:07,merge dev branch,[],0,"check runtime permissions
fix ical parsing
enable calendar view
random calendar colours
"
marunjar/anewjkuapp,closed,2015-11-09 16:30:15,app is crash when trying to show statistics,[],0,"I'm a new student, so I have no grades yet. If I try to open the point statistics, the app is crashing, and I cannot open it again (because it try to load my statistics after startup).

The issue is only appearing when activating the option diagramms in the preferences
"
marunjar/anewjkuapp,closed,2015-10-06 11:21:39,merge dev branch,[],0,"launch screen
fix ical parsing
"
marunjar/anewjkuapp,closed,2015-10-05 06:03:14,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-05-29 18:04:25,use new design support library,[],0,
marunjar/anewjkuapp,closed,2015-05-13 09:52:25,Cleanups in KusssHandler,[],0,"Some cleanups in KusssHandler
"
marunjar/anewjkuapp,closed,2015-03-29 13:44:36,update MPAndroidChart,[],0,
marunjar/anewjkuapp,closed,2015-03-29 13:33:57,merge dev branch,[],0,"fix searching for rooms with slash in name
new map theme
updated libraries
"
marunjar/anewjkuapp,closed,2015-03-19 23:24:08,merge dev branch,[],0,"fix loading courses
materialized drawer
"
marunjar/anewjkuapp,closed,2015-03-09 08:51:19,Dev,[],0,
marunjar/anewjkuapp,closed,2015-03-09 08:49:51,merge Kussslib,[],0,
marunjar/anewjkuapp,closed,2015-03-08 16:19:46,prepare for using kussslib,[],0,
marunjar/anewjkuapp,closed,2015-03-08 16:18:46,prepare for using kussslib,[],0,
marunjar/anewjkuapp,closed,2015-03-08 09:57:34,add LICENSE,[],0,
marunjar/anewjkuapp,closed,2015-03-07 14:39:38,fix studies header,[],0,
marunjar/anewjkuapp,closed,2015-03-07 14:31:21,merge dev branch,[],0,"updated libraries
fix typos
new icon
fix loading exams
fix loading lvas
small layout changes
"
marunjar/anewjkuapp,closed,2015-03-15 09:49:20,License,[],0,"What is the license for the source?
"
marunjar/anewjkuapp,closed,2015-11-05 18:19:34,don't show lvas without grades,[],0,"new option for app:
don't show lva's without grade, sometimes there are courses you have never finished and not really interesting any more.
"
marunjar/anewjkuapp,closed,2015-03-02 18:58:46,update MPAndroidChart,[],0,"update MPAndroidChart to 2.0.7
"
marunjar/anewjkuapp,closed,2015-03-02 15:31:28,update Mpandroidchart,[],0,"update MPAndroidChart to v2.0.7
"
marunjar/anewjkuapp,closed,2015-03-02 15:09:36,migrate to recycler view,[],0,
marunjar/anewjkuapp,closed,2015-03-02 15:08:58,migrate to recycler view,[],0,"migrate all views to recycler view
"
marunjar/anewjkuapp,closed,2015-02-28 15:05:18,merge dev branch,[],0,"new app icon
layout changes
theme changes
fix loading exams
fix loading menus
"
marunjar/anewjkuapp,closed,2015-02-22 08:41:47,merge dev branch,[],0,"layout changes
improve loading of lvas
minor fixes
"
marunjar/anewjkuapp,closed,2015-02-08 17:46:43,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-02-08 16:48:15,merge dev branch,[],0,"merge fixes
"
marunjar/anewjkuapp,closed,2015-01-27 21:26:26,merge fixes,[],0,
marunjar/anewjkuapp,closed,2015-01-27 19:39:21,Dev,[],0,"some design changes
"
marunjar/anewjkuapp,closed,2015-01-16 15:55:46,merge dev branch,[],0,"some proguard changes
"
marunjar/anewjkuapp,closed,2015-01-15 16:42:50,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-01-09 17:06:00,bump version,[],0,"bump version to 0.29
"
marunjar/anewjkuapp,closed,2015-01-08 18:11:14,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-01-04 13:51:51,improve showing events on map,[],0,
marunjar/anewjkuapp,closed,2015-01-04 12:05:08,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-01-04 11:18:49,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2014-12-11 17:38:09,merge dev branch,[],0,"layout fixes
color fixes
"
marunjar/anewjkuapp,closed,2014-12-10 19:02:24,merge dev branch,[],0,"prepearation for API10 compatibility
"
marunjar/anewjkuapp,closed,2014-12-09 17:46:54,merge dev branch,[],0,"last changes for release of material style
"
marunjar/anewjkuapp,closed,2014-12-08 21:34:29,merge dev branch,[],0,"full material design with native cards
"
marunjar/anewjkuapp,closed,2014-12-06 11:22:18,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2014-12-02 08:44:11,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2014-11-28 09:32:24,fix stat card expand,[],0,
marunjar/anewjkuapp,closed,2014-11-25 16:21:05,extend grade parsing,[],0,"add grades:
""mit Erfolg teilgenommen""
""bestanden""
""mit Auszeichnung bestanden""
"
marunjar/anewjkuapp,closed,2014-11-25 14:25:54,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2015-03-04 19:48:21,disable calendar sync,"[Label(name=""enhancement"")]",0,"add option to disable calendar sync, existing calendars for import should be removed if disabled
"
marunjar/anewjkuapp,closed,2015-11-05 18:19:46,timetable: add week view,"[Label(name=""Idea""), Label(name=""enhancement"")]",0,"at the moment dates in timetable are only shown as simple list
so add the option to show the timetable in a week view like in kusss (https://www.kusss.jku.at/kusss/timetable-current-week.action)
"
marunjar/anewjkuapp,closed,2014-11-15 19:50:43,Dev,[],0,"some minor ux improvements
"
marunjar/anewjkuapp,closed,2014-11-15 11:06:02,improve loading tasks,[],0,"hide progress after updating data
change some fields to locale variables
create objects before running background task
"
marunjar/anewjkuapp,closed,2014-11-13 15:31:59,Dev,[],0,"fix some possible exceptions
optimize loading ical
"
marunjar/anewjkuapp,closed,2015-04-15 17:45:20,add app to f-droid,[],0,"https://f-droid.org/ 
https://f-droid.org/forums/topic/read-this-before-posting/

needs a little work before publishing the app via f-droid

need licence files in repo (now missing)
need a file header in source files (now missing)
"
marunjar/anewjkuapp,closed,2014-11-12 21:33:27,fix animation while scrolling tabs,[],0,
marunjar/anewjkuapp,closed,2014-11-12 21:09:17,update icons,[],0,"thx to @rnbdsh

removed blur from KUSSS logo
"
marunjar/anewjkuapp,closed,2014-11-12 19:55:12,merge dev branch,[],0,"improved mensa parser
small cosmetic changes
small fixes
"
marunjar/anewjkuapp,closed,2014-11-11 08:40:31,Add normalize,[],0,"add and call normalize
"
marunjar/anewjkuapp,closed,2014-11-09 15:10:48,center selected tab,[],0,"show selected tab in center of screen and not on the left side
"
marunjar/anewjkuapp,closed,2014-11-09 13:24:39,preparation for cardslib v2,[],0,
marunjar/anewjkuapp,closed,2014-11-07 19:46:42,add option to show password,[],0,
marunjar/anewjkuapp,closed,2015-03-04 19:48:37,use own calendar,"[Label(name=""enhancement"")]",0,"add option to choose existing calendar for import of course dates and exams

depends on #29
"
marunjar/anewjkuapp,closed,2014-11-06 19:15:41,merge en translation,[],0,
marunjar/anewjkuapp,closed,2014-12-08 21:35:04,load studies and terms from kusss,"[Label(name=""Idea""), Label(name=""enhancement"")]",0,"load studies from https://www.kusss.jku.at/kusss/studentsettings.action from my curricula list
there is also begin and end available and these can be used to calculate semester to be shown in app 

it can also be used to reduce data loaded by term.
"
marunjar/anewjkuapp,closed,2014-11-05 12:54:02,replace marker icon,[],0,"also use new icon for location/positon marker on map
"
marunjar/anewjkuapp,closed,2014-11-04 19:14:44,merge dev branch,[],0,
marunjar/anewjkuapp,closed,2014-11-04 18:33:32,New ui,[],0,
marunjar/anewjkuapp,open,,wizard,"[Label(name=""Idea"")]",0,"use a wizard for setup on first use or even every time the user logs in to his account

screen: description
1. login: login and add some info how to and what user to use
(2. calendar: lets choose the calender where exams and lvas got impoted. local app calendar or others)
3. setup sync: setup sync interval, describe benefits of short/long intervals
(4. setup notification)
5. setup design: light/dark with preview, diagram type, grouping of menus with preview 
"
marunjar/anewjkuapp,closed,2014-11-12 15:04:22,stretch tabs if necessary,"[Label(name=""Idea"")]",0,"stretch tabs if they use not the full width of layout
e.g. menus per day: if only (Thursday and) Friday is shown, the tab wont use full with, so stretch tabs to fill width
"
marunjar/anewjkuapp,open,,implement rss service for app,"[Label(name=""Idea"")]",0,"implement service for app to provide users of the app with important news.

e.g. breaking changes in kusss so app has to be updated
"
marunjar/anewjkuapp,open,,remember tab on refresh,"[Label(name=""bug - low"")]",0,
marunjar/anewjkuapp,open,,change history/notification center,"[Label(name=""Idea"")]",0,"just an idea for logging changes and improve/reduce shown notifications

at the moment there are only lot of notifications for exams, events, grades and if on of them is clicked it starts the app and goes to the specific page without showing what has changed.

so what about a notification ceter where all changes (since last visit) are shown.
this will include deletions of events, new exams, registration for exams, new grades, ... and there will also be a marker that shows ""unread"" changes.

It will also be possible to link from this entries to the specific pages

There will onyl be one simple notification that shows a number of changes and starts the app on the notification center

notification center itself won't be accessible from menu, just from notification.

what do you think about this idea?
"
marunjar/anewjkuapp,closed,2014-11-12 19:20:28,add option to show password,"[Label(name=""enhancement"")]",0,"add option to show password on login screen
"
marunjar/anewjkuapp,closed,2015-03-04 19:49:13,use alternative sync mechanism if sync is disabled,"[Label(name=""enhancement"")]",0,"The update mechanism needs active sync and if it's disabled the whole app won't work properly.
"
marunjar/anewjkuapp,closed,2014-11-05 14:24:02,bring back dark desig,"[Label(name=""enhancement"")]",0,"needs a lot of desig changes, especially for cards
"
marunjar/anewjkuapp,closed,2015-03-04 19:49:38,save event uid in field that is synced and not modified by google,"[Label(name=""enhancement"")]",0,"save event uid in field that is syncable and not modified by google while syncing.

necessary for using and syncing with kusss and own (google-)calendars
"
marunjar/anewjkuapp,closed,2014-10-05 10:47:09,Dev,[],0,"pull latest changes to master
"
marunjar/anewjkuapp,closed,2014-09-19 11:19:57,Dev,[],0,"pull 
"
marunjar/anewjkuapp,closed,2014-10-08 09:42:43,group menu by day,"[Label(name=""enhancement"")]",0,"group menus in mensa fragment by day
"
marunjar/anewjkuapp,closed,2015-11-09 16:32:44,Add high res launcher icon,"[Label(name=""enhancement"")]",0,
marunjar/anewjkuapp,closed,2014-09-08 16:28:52,fix npe,[],0,
marunjar/anewjkuapp,closed,2014-09-07 15:22:37,merge cardslib,[],0,
marunjar/anewjkuapp,closed,2014-09-01 22:55:52,change revision,[],0,
marunjar/anewjkuapp,open,,create library for KUSSS access,"[Label(name=""enhancement""), Label(name=""refactor"")]",0,
marunjar/anewjkuapp,open,,think about creation of fragments,"[Label(name=""enhancement"")]",0,"implementation creation and of fragments and attaching them to activity is a little bit crappy. Think about it and refactor it.
"
marunjar/anewjkuapp,closed,2014-07-18 14:27:12,remove double grades,[],0,"if there are more than one grade for one lva all of them are shown and used for average grade.

only use the last one (filter by lvanr, term)
"
marunjar/anewjkuapp,closed,2014-06-24 16:42:09,get calendar ids by name,"[Label(name=""bug - high"")]",0,"At the moment calendar ids are saved in preferences.
No need for if calendars can be identified by their names (#17)
"
marunjar/anewjkuapp,closed,2014-06-24 16:23:12,set calendar name properly,"[Label(name=""bug - low"")]",0,"set calendar name to constant for identifying and use display name for localization.

may require recreation of calendars on app update.
"
marunjar/anewjkuapp,closed,2014-11-05 14:24:32,add missing locations,"[Label(name=""enhancement"")]",0,"add missing locations to campus plan
all rooms from here (http://www.jku.at/content/e213/e152/e136/e14198/e14197) should be available
"
marunjar/anewjkuapp,closed,2015-11-09 16:35:16,add filter to mensa dashclock extension ,"[Label(name=""new"")]",0,"filter menus by properties (with oeh-bonus, brainfood, vegetarian, ...) 

(and maybe by regex?)
"
marunjar/anewjkuapp,open,,show special menu properties,"[Label(name=""enhancement"")]",0,"load an show special properties for mensa menus:
- Brainfood
- vegetarian
- fish
- MSC (certified seafood)
"
marunjar/anewjkuapp,open,,add link to oeh courier,"[Label(name=""new"")]",0,"add link to download and show oeh courier directly
"
marunjar/anewjkuapp,closed,2014-11-05 14:25:41,new icon for own location,"[Label(name=""enhancement"")]",0,"draw a new/better icon for own location (at the moment it's only a big blue circle)
"
marunjar/anewjkuapp,closed,2014-11-07 11:53:57,translate to en,[],0,"translate all strings to en
"
marunjar/anewjkuapp,closed,2014-11-06 12:21:45,replace hardcoded strings,[],0,"replace all hardcoded strings and load from resources
"
marunjar/anewjkuapp,open,,refactor mensa parser,"[Label(name=""bug - low""), Label(name=""enhancement"")]",0,"- refactor interfaces
- rewrite parser (randomly not working at the moment)
"
marunjar/anewjkuapp,closed,2014-12-08 21:36:03,add oeh news,"[Label(name=""new"")]",0,"add general oeh news: oeh.jku.at/news/
add specific news for TNF, SOWI, REWI
"
marunjar/anewjkuapp,open,,add tablet layout,"[Label(name=""new"")]",0,"on tablets the app should use a different layout
"
marunjar/anewjkuapp,open,,refactor loading of list content,"[Label(name=""bug - moderate"")]",0,"at the moment screen rotation will crash the app while loading content (rotation temporary disabled)
"
marunjar/anewjkuapp,closed,2014-09-13 12:33:53,link event location to campusplan,"[Label(name=""new"")]",0,"if the location of an event is known it should be possible to show the location in campus plan
"
marunjar/anewjkuapp,closed,2014-12-08 21:37:04,add menu to list items,"[Label(name=""new"")]",0,"add a menu to list items to add any actions that process the given entry.

e.g. for linking new exams to registration in KUSSS or showing locations in campus plan
"
marunjar/anewjkuapp,closed,2014-07-10 17:56:58,current registrations for exams aren't loaded,"[Label(name=""bug - low"")]",0,"current registrations for exams aren't loaded and shown on exam page
"
marunjar/anewjkuapp,closed,2014-06-05 10:23:29,only one contributor in about section,[],0,"at the moment there is only one contributor listed.
instead fill a list from a simple xml file, so anybody who commit something can add his name (and maybe mail) there
"
marunjar/anewjkuapp,closed,2015-11-09 16:34:39,show notification if sync is disabled,"[Label(name=""enhancement"")]",0,"Show notification if sync is globally disabled or also if just for account sync is disabled.
The update mechanism needs active sync and if it's disabled the whole app won't work properly.
"
