"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.pcinpact","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/DebugActivity.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/ListeArticlesActivity.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.pcinpact","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/ListeArticlesActivity.java","3","109","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact.adapters","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/adapters/ItemsAdapter.java","3","147","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact.datastorage","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/datastorage/DAO.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pcinpact.items","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/items/ArticleItem.java","3","32","The class 'ArticleItem' is suspected to be a Data Class (WOC=30.769%, NOPA=0, NOAM=18, WMC=26)","Design","DataClass"
"1","com.pcinpact.items","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/items/CommentaireItem.java","3","34","The class 'CommentaireItem' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=12, WMC=14)","Design","DataClass"
"1","com.pcinpact.items","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/items/ContenuArticleItem.java","3","26","The class 'ContenuArticleItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.pcinpact.network","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/network/AsyncHTMLDownloader.java","3","128","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact.network","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/network/Downloader.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.pcinpact.network","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/network/Downloader.java","3","198","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact.parseur","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/parseur/ParseurHTML.java","3","55","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.pcinpact.parseur","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/parseur/ParseurHTML.java","3","174","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.pcinpact.parseur","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/main/java/com/pcinpact/parseur/ParseurHTML.java","3","472","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.pcinpact.parseur","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/test/java/com/pcinpact/parseur/ParseurHTMLTest.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.pcinpact.parseur","/home/matheus/smells-issues-nlp/repositories/AnaelMobilia_NextINpact-Unofficial/app/src/test/java/com/pcinpact/parseur/ParseurHTMLTest.java","3","41","Avoid really long methods.","Design","ExcessiveMethodLength"
