"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ohi.andre.consolelauncher","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/LauncherActivity.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","ohi.andre.consolelauncher","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/LauncherActivity.java","3","213","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ohi.andre.consolelauncher","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/UIManager.java","3","76","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ohi.andre.consolelauncher","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/UIManager.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ohi.andre.consolelauncher","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/UIManager.java","3","660","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ohi.andre.consolelauncher.commands","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/CommandTuils.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","ohi.andre.consolelauncher.commands","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/CommandTuils.java","3","501","The class 'ArgInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","ohi.andre.consolelauncher.commands.main","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/MainPack.java","3","71","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","ohi.andre.consolelauncher.commands.main.raw","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/search.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ohi.andre.consolelauncher.commands.tuixt","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/tuixt/TuixtActivity.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/AppsManager.java","3","58","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/AppsManager.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/AppsManager.java","3","168","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/ContactManager.java","3","303","The class 'Contact' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=2, WMC=4)","Design","DataClass"
"1","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/FileManager.java","3","162","The class 'WildcardInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=3)","Design","DataClass"
"1","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/NotesManager.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/RssManager.java","3","54","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/RssManager.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/RssManager.java","3","142","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/RssManager.java","3","158","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","ohi.andre.consolelauncher.managers","/home/matheus/smells-issues-nlp/repositories/Andre1299_TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/managers/RssManager.java","3","789","Avoid really long methods.","Design","ExcessiveMethodLength"
