"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.hampager.dapnetmobile.activites","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/activites/PostCallActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/CallAdapter.java","3","20","The class 'CallAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/NodeAdapter.java","3","19","The class 'NodeAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/RubricAdapter.java","3","22","The class 'RubricAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/RubricContentAdapter.java","3","19","The class 'RubricContentAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/SubscriberAdapter.java","3","20","The class 'SubscriberAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/TransmitterAdapter.java","3","18","The class 'TransmitterAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/TransmitterGroupAdapter.java","3","18","The class 'TransmitterGroupAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.adapters","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/adapters/UserAdapter.java","3","18","The class 'UserAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","de.hampager.dapnetmobile.fragments","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/fragments/MapFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.hampager.dapnetmobile.fragments","/home/matheus/smells-issues-nlp/repositories/DecentralizedAmateurPagingNetwork_DAPNETApp/app/src/main/java/de/hampager/dapnetmobile/fragments/TableFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
