"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AllInOneActivity.java","3","100","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AllInOneActivity.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AllInOneActivity.java","3","255","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AllInOneActivity.java","3","996","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AllInOneActivity.java","3","1230","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AsyncQueryService.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/AsyncQueryServiceHelper.java","3","141","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarController.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarController.java","3","190","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarController.java","3","243","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarController.java","3","258","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarEventModel.java","3","543","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarEventModel.java","3","780","The class 'Attendee' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=4)","Design","DataClass"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/CalendarViewAdapter.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","100","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","575","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","785","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","1248","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","1512","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","com.android.calendar","/home/matheus/smells-issues-nlp/repositories/Etar-Group_Etar-Calendar/src/com/android/calendar/DayView.java","3","2811","Avoid really long methods.","Design","ExcessiveMethodLength"
