"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.llamacorp.equate.test","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/androidTest/java/com/llamacorp/equate/test/EspressoTestUtils.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.llamacorp.equate","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/Calculator.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.llamacorp.equate","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/Expression.java","3","12","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.llamacorp.equate","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/Expression.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.llamacorp.equate.unit","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/unit/UnitInitializer.java","3","38","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.llamacorp.equate.unit","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/unit/UnitInitializer.java","3","322","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.llamacorp.equate.unit","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/unit/UnitType.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.llamacorp.equate.view","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/view/CalcActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.llamacorp.equate.view","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/view/CalcActivity.java","3","99","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.llamacorp.equate.view","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/view/ConvKeysFragment.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.llamacorp.equate.view","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/main/java/com/llamacorp/equate/view/ConvKeysFragment.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.llamacorp.equate","/home/matheus/smells-issues-nlp/repositories/EvanRespaut_Equate/app/src/test/java/com/llamacorp/equate/CalculatorJUnitTest.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
