"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/DCCHistory.java","3","149","The class 'Entry' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=7)","Design","DataClass"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/DCCManager.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/DCCManager.java","3","737","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/DCCNotificationManager.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/DCCTransferListAdapter.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/EditNotificationSettingsActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/EditNotificationSettingsActivity.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/EditServerActivity.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/IRCApplication.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/MainActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/MessageFormatSettingsActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/MessageFormatSettingsActivity.java","3","71","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/NotificationManager.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/ServerConnectionInfo.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/ServerConnectionManager.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/ServerListAdapter.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.chat","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/chat/ChatFragment.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.mrarm.irc.chat","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/chat/ChatFragment.java","3","62","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.mrarm.irc.chat","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/chat/ChatMessagesFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.chat","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/chat/ChatSelectTouchListener.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.config","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/config/NotificationCountStorage.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.config","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/config/ServerCertificateManager.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.config","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/config/SettingsHelper.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.job","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/job/ServerPingScheduler.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.mrarm.irc.util","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/util/AlignToPointSpan.java","3","26","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","io.mrarm.irc.util","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/util/IRCColorUtils.java","3","90","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.mrarm.irc.util","/home/matheus/smells-issues-nlp/repositories/MCMrARM_revolution-irc/app/src/main/java/io/mrarm/irc/util/MessageBuilder.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
