"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.neamar.kiss","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/DataHandler.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.neamar.kiss","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/MainActivity.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.neamar.kiss","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/MainActivity.java","3","150","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.neamar.kiss","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/SettingsActivity.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.neamar.kiss.forwarder","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/forwarder/ForwarderManager.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.neamar.kiss.forwarder","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/forwarder/Widget.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.neamar.kiss.loader","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/loader/LoadContactsPojos.java","3","30","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.neamar.kiss.pojo","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/pojo/ContactsPojo.java","3","7","The class 'ContactsPojo' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=2, WMC=4)","Design","DataClass"
"1","fr.neamar.kiss.pojo","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/pojo/Pojo.java","3","10","The class 'Pojo' is suspected to be a Data Class (WOC=25.000%, NOPA=4, NOAM=2, WMC=6)","Design","DataClass"
"1","fr.neamar.kiss.pojo","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/pojo/SearchPojo.java","3","3","The class 'SearchPojo' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=6)","Design","DataClass"
"1","fr.neamar.kiss.result","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/result/Result.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.neamar.kiss.utils","/home/matheus/smells-issues-nlp/repositories/Neamar_KISS/app/src/main/java/fr/neamar/kiss/utils/FuzzyScore.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
