"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.secuso.privacyfriendlyactivitytracker.activities","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/activities/TrainingOverviewActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlyactivitytracker.adapters","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/adapters/ReportAdapter.java","3","120","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlyactivitytracker.adapters","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/adapters/TrainingOverviewAdapter.java","3","106","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.secuso.privacyfriendlyactivitytracker.adapters","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/adapters/TrainingOverviewAdapter.java","3","362","The class 'TrainingSummaryViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=1)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/DailyReportFragment.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/DailyReportFragment.java","3","319","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/MonthlyReportFragment.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/MonthlyReportFragment.java","3","299","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/WeeklyReportFragment.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.secuso.privacyfriendlyactivitytracker.fragments","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/fragments/WeeklyReportFragment.java","3","304","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/ActivityChart.java","3","29","The class 'ActivityChart' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=13)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/ActivityChartDataSet.java","3","25","The class 'ActivityChartDataSet' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=4, WMC=5)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/ActivityDayChart.java","3","29","The class 'ActivityDayChart' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=13)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/ActivitySummary.java","3","24","The class 'ActivitySummary' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=16)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/StepCount.java","3","35","The class 'StepCount' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=8, WMC=11)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.models","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/models/Training.java","3","33","The class 'Training' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=20, WMC=26)","Design","DataClass"
"1","org.secuso.privacyfriendlyactivitytracker.services","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/services/AbstractStepDetectorService.java","3","61","The class 'AbstractStepDetectorService' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=30)","Design","DataClass"
"2","org.secuso.privacyfriendlyactivitytracker.services","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/services/AbstractStepDetectorService.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlyactivitytracker.services","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/services/AccelerometerStepDetectorService.java","3","84","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlyactivitytracker.services","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/services/MovementSpeedService.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlyactivitytracker.utils","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/utils/StepDetectionServiceHelper.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlyactivitytracker.utils","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/utils/UnitHelper.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.secuso.privacyfriendlyactivitytracker.utils","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-pedometer/app/src/main/java/org/secuso/privacyfriendlyactivitytracker/utils/UnitHelper.java","3","239","The class 'FormattedUnitPair' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
