"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.product.business","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/product/business/ProductService.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.product.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/product/business/domain/ProductItem.java","3","15","The class 'ProductItem' is suspected to be a Data Class (WOC=16.000%, NOPA=0, NOAM=21, WMC=37)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.product.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/product/business/domain/TotalItem.java","3","11","The class 'TotalItem' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.product.business.impl","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/product/business/impl/ProductServiceImpl.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.product.persistence.entity","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/product/persistence/entity/ProductItemEntity.java","3","13","The class 'ProductItemEntity' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=20, WMC=21)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.shoppingList.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/shoppingList/business/domain/ListItem.java","3","13","The class 'ListItem' is suspected to be a Data Class (WOC=3.704%, NOPA=0, NOAM=26, WMC=32)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.shoppingList.persistence.entity","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/shoppingList/persistence/entity/ShoppingListEntity.java","3","16","The class 'ShoppingListEntity' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=22, WMC=22)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.statistics.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/statistics/business/domain/StatisticEntryItem.java","3","8","The class 'StatisticEntryItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.statistics.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/statistics/business/domain/StatisticsChartData.java","3","12","The class 'StatisticsChartData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.statistics.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/statistics/business/domain/StatisticsQuery.java","3","10","The class 'StatisticsQuery' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=8, WMC=8)","Design","DataClass"
"1","privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.logic.statistics.business.domain","/home/matheus/smells-issues-nlp/repositories/SecUSo_privacy-friendly-shopping-list/app/src/main/java/privacyfriendlyshoppinglist/secuso/org/privacyfriendlyshoppinglist/logic/statistics/business/domain/StatsRangeItem.java","3","8","The class 'StatsRangeItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
