"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jp.wasabeef.picasso.transformations","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/jp/wasabeef/picasso/transformations/RoundedCornersTransformation.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.sgtools","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/sgtools/Giveaway.java","3","9","The class 'Giveaway' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=7, WMC=8)","Design","DataClass"
"1","net.mabako.steamgifts.activities","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/activities/Navbar.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.mabako.steamgifts.activities","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/activities/SettingsActivity.java","3","29","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.mabako.steamgifts.adapters","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/adapters/EndlessAdapter.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.adapters.viewholder","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/adapters/viewholder/CustomHtmlTagHandler.java","3","279","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.mabako.steamgifts.adapters.viewholder","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/adapters/viewholder/GiveawayCardViewHolder.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Comment.java","3","17","The class 'Comment' is suspected to be a Data Class (WOC=32.000%, NOPA=1, NOAM=16, WMC=28)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Discussion.java","3","10","The class 'Discussion' is suspected to be a Data Class (WOC=18.750%, NOPA=1, NOAM=12, WMC=18)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/DiscussionExtras.java","3","7","The class 'DiscussionExtras' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=6, WMC=8)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Game.java","3","8","The class 'Game' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=8, WMC=10)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/GiveawayExtras.java","3","7","The class 'GiveawayExtras' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=15)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Poll.java","3","13","The class 'Poll' is suspected to be a Data Class (WOC=30.000%, NOPA=0, NOAM=7, WMC=11)","Design","DataClass"
"2","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Poll.java","3","83","The class 'Answer' is suspected to be a Data Class (WOC=20.000%, NOPA=1, NOAM=8, WMC=10)","Design","DataClass"
"3","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/Poll.java","3","167","The class 'Header' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=4)","Design","DataClass"
"1","net.mabako.steamgifts.data","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/data/TradeComment.java","3","3","The class 'TradeComment' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/DetailFragment.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/DetailFragment.java","3","278","The class 'CommentContextInfo' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/DiscussionDetailFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/GiveawayDetailFragment.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/GiveawayListFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/ListFragment.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/SavedGiveawaysFragment.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/UserDetailFragment.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.mabako.steamgifts.fragments","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/UserDetailFragment.java","3","411","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments.profile","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/profile/MessageListFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.mabako.steamgifts.fragments.util","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/util/DiscussionDetailsCard.java","3","10","The class 'DiscussionDetailsCard' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=4)","Design","DataClass"
"1","net.mabako.steamgifts.fragments.util","/home/matheus/smells-issues-nlp/repositories/SteamGifts_SteamGifts/core/src/main/java/net/mabako/steamgifts/fragments/util/GiveawayDetailsCard.java","3","10","The class 'GiveawayDetailsCard' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=4)","Design","DataClass"
