"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.tortel.syslog","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/com/tortel/syslog/FragmentMainActivity.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.tortel.syslog","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/com/tortel/syslog/Result.java","3","28","The class 'Result' is suspected to be a Data Class (WOC=30.769%, NOPA=0, NOAM=8, WMC=13)","Design","DataClass"
"1","com.tortel.syslog","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/com/tortel/syslog/RunCommand.java","3","26","The class 'RunCommand' is suspected to be a Data Class (WOC=6.897%, NOPA=1, NOAM=26, WMC=36)","Design","DataClass"
"1","com.tortel.syslog.fragment","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/com/tortel/syslog/fragment/MainFragment.java","3","169","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.tortel.syslog.utils","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/com/tortel/syslog/utils/GrabLogThread.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/Bitmap4x8FontRenderer.java","3","65","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/ColorScheme.java","3","34","The class 'ColorScheme' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=16)","Design","DataClass"
"1","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","66","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","271","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/EmulatorView.java","3","629","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jackpal.androidterm.emulatorview","/home/matheus/smells-issues-nlp/repositories/Tortel_SysLog/app/src/main/java/jackpal/androidterm/emulatorview/PaintRenderer.java","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
