"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.wangdaye.mysplash.about.model","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/about/model/AppObject.java","3","12","The class 'AppObject' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.wangdaye.mysplash.about.model","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/about/model/LibraryObject.java","3","12","The class 'LibraryObject' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.wangdaye.mysplash.about.model","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/about/model/TranslatorObject.java","3","12","The class 'TranslatorObject' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.wangdaye.mysplash.about.presenter","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/about/presenter/CreateAboutModelImplementor.java","3","27","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.wangdaye.mysplash.collection.view.activity","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/collection/view/activity/CollectionActivity.java","3","86","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.wangdaye.mysplash.collection.view.widget","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/collection/view/widget/CollectionPhotosView.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.wangdaye.mysplash.common.basic.activity","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/common/basic/activity/MysplashActivity.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.wangdaye.mysplash.common.data.entity.unsplash","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/common/data/entity/unsplash/Badge.java","3","10","The class 'Badge' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=2)","Design","DataClass"
"1","com.wangdaye.mysplash.common.data.entity.unsplash","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/common/data/entity/unsplash/Category.java","3","12","The class 'Category' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=9)","Design","DataClass"
"1","com.wangdaye.mysplash.common.data.entity.unsplash","/home/matheus/smells-issues-nlp/repositories/WangDaYeeeeee_Mysplash/app/src/main/java/com/wangdaye/mysplash/common/data/entity/unsplash/Collection.java","3","14","The class 'Collection' is suspected to be a Data Class (WOC=0.000%, NOPA=17, NOAM=0, WMC=2)","Design","DataClass"
