"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.toulibre.capitoledulibre.activities","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/activities/AppCompatPreferenceActivity.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.toulibre.capitoledulibre.activities","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/activities/MainActivity.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.toulibre.capitoledulibre.adapters","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/adapters/ConcatAdapter.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.toulibre.capitoledulibre.db","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/db/DatabaseHelper.java","3","7","The class 'DatabaseHelper' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=1)","Design","DataClass"
"1","org.toulibre.capitoledulibre.db","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/db/DatabaseManager.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.toulibre.capitoledulibre.db","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/db/DatabaseManager.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.toulibre.capitoledulibre.fragments","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/fragments/BookmarksListFragment.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.toulibre.capitoledulibre.fragments","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/fragments/TrackScheduleListFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.toulibre.capitoledulibre.model","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/model/Day.java","3","13","The class 'Day' is suspected to be a Data Class (WOC=28.571%, NOPA=1, NOAM=4, WMC=9)","Design","DataClass"
"1","org.toulibre.capitoledulibre.model","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/model/Event.java","3","13","The class 'Event' is suspected to be a Data Class (WOC=9.375%, NOPA=1, NOAM=28, WMC=40)","Design","DataClass"
"1","org.toulibre.capitoledulibre.model","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/model/Link.java","3","6","The class 'Link' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","org.toulibre.capitoledulibre.model","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/model/Person.java","3","8","The class 'Person' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","org.toulibre.capitoledulibre.model","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/model/Track.java","3","10","The class 'Track' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","org.toulibre.capitoledulibre.parsers","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/parsers/EventsParser.java","3","72","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.toulibre.capitoledulibre.services","/home/matheus/smells-issues-nlp/repositories/capitoledulibre_cdl-companion-android/app/src/main/java/org/toulibre/capitoledulibre/services/AlarmIntentService.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
