"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.free.nrw.commons","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/AboutActivity.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/Media.java","3","18","The class 'Media' is suspected to be a Data Class (WOC=21.429%, NOPA=1, NOAM=20, WMC=35)","Design","DataClass"
"1","fr.free.nrw.commons","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/Utils.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.achievements","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/achievements/Achievements.java","3","6","The class 'Achievements' is suspected to be a Data Class (WOC=13.333%, NOPA=0, NOAM=11, WMC=16)","Design","DataClass"
"1","fr.free.nrw.commons.achievements","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/achievements/AchievementsActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.achievements","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/achievements/FeedbackResponse.java","3","3","The class 'FeedbackResponse' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","fr.free.nrw.commons.auth","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/auth/LoginActivity.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.bookmarks","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/bookmarks/Bookmark.java","3","7","The class 'Bookmark' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","fr.free.nrw.commons.bookmarks.pictures","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/bookmarks/pictures/BookmarkPicturesFragment.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.category","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/category/CategoriesModel.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.category","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/category/Category.java","3","10","The class 'Category' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=6, WMC=10)","Design","DataClass"
"1","fr.free.nrw.commons.category","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/category/CategoryDetailsActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.category","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/category/CategoryImagesActivity.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.free.nrw.commons.category","/home/matheus/smells-issues-nlp/repositories/commons-app_apps-android-commons/app/src/main/java/fr/free/nrw/commons/category/CategoryImagesListFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
