"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/ImageProcessor.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/OpenNoteScannerActivity.java","3","87","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/OpenNoteScannerActivity.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/OpenNoteScannerActivity.java","3","179","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/OpenNoteScannerActivity.java","3","661","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.todobom.opennotescanner","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/OpenNoteScannerActivity.java","3","902","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.todobom.opennotescanner.helpers","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/helpers/CustomOpenCVLoader.java","3","163","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.todobom.opennotescanner.helpers","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/helpers/OpenNoteMessage.java","3","6","The class 'OpenNoteMessage' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.todobom.opennotescanner.helpers","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/helpers/PreviewFrame.java","3","8","The class 'PreviewFrame' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","com.todobom.opennotescanner.views","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/views/TouchImageView.java","3","45","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.todobom.opennotescanner.views","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/views/TouchImageView.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.todobom.opennotescanner.views","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/views/TouchImageView.java","3","552","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.todobom.opennotescanner.views","/home/matheus/smells-issues-nlp/repositories/ctodobom_OpenNoteScanner/app/src/main/java/com/todobom/opennotescanner/views/TouchImageView.java","3","1268","The class 'ZoomVariables' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
