"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/GameActivity.java","3","77","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/GameActivity.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/GameActivity.java","3","179","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/GameActivity.java","3","1213","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/StartActivity.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dftec.planetcon.activities","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/activities/StartActivity.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dftec.planetcon.ai","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/ai/AIData.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dftec.planetcon.data","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/data/GalaxyData.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dftec.planetcon.data","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/data/GalaxyData.java","3","171","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dftec.planetcon.settings","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/settings/ColorPicker.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dftec.planetcon.ui","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/ui/GalaxyView.java","3","41","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.dftec.planetcon.ui","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/ui/GalaxyView.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.dftec.planetcon.ui","/home/matheus/smells-issues-nlp/repositories/dftec-es_planetcon/src/com/dftec/planetcon/ui/GalaxyView.java","3","484","Avoid long parameter lists.","Design","ExcessiveParameterList"
