"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Abstract","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Abstract/display_sensor_info.java","3","50","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","Abstract","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Abstract/display_sensor_info.java","3","50","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","Abstract","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Abstract/pref_utils.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","Dialog","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Dialog/Dialog_House.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","Dialog","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Dialog/Dialog_Synchronize.java","3","35","Avoid really long classes.","Design","ExcessiveClassLength"
"2","Dialog","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Dialog/Dialog_Synchronize.java","3","126","Avoid really long classes.","Design","ExcessiveClassLength"
"3","Dialog","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Dialog/Dialog_Synchronize.java","3","175","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Area.java","3","27","The class 'Entity_Area' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Feature.java","3","29","The class 'Entity_Feature' is suspected to be a Data Class (WOC=10.714%, NOPA=0, NOAM=24, WMC=38)","Design","DataClass"
"2","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Feature.java","3","48","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Feature_Association.java","3","24","The class 'Entity_Feature_Association' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=11, WMC=17)","Design","DataClass"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Icon.java","3","3","The class 'Entity_Icon' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Map.java","3","24","The class 'Entity_Map' is suspected to be a Data Class (WOC=13.333%, NOPA=0, NOAM=12, WMC=15)","Design","DataClass"
"2","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Map.java","3","33","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","Entity","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Entity/Entity_Room.java","3","27","The class 'Entity_Room' is suspected to be a Data Class (WOC=10.000%, NOPA=0, NOAM=8, WMC=11)","Design","DataClass"
"1","Event","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/Event/ConnectivityChangeEvent.java","3","7","The class 'ConnectivityChangeEvent' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=6, WMC=10)","Design","DataClass"
"1","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Main.java","3","88","Avoid really long classes.","Design","ExcessiveClassLength"
"2","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Main.java","3","88","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Main.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Main.java","3","712","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Map.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Map.java","3","115","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Map.java","3","328","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Activity_Map.java","3","455","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Graphics_Manager.java","3","29","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Graphics_Manager.java","3","528","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Graphics_Manager.java","3","633","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","activities","/home/matheus/smells-issues-nlp/repositories/domogik_domodroid/Domodroid/src/main/java/activities/Widgets_Manager.java","3","59","Avoid really long methods.","Design","ExcessiveMethodLength"
