"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.gsantner.memetastic.activity","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/activity/MainActivity.java","3","95","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.memetastic.activity","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/activity/MemeCreateActivity.java","3","103","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.gsantner.memetastic.activity","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/activity/MemeCreateActivity.java","3","583","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.memetastic.data","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/data/MemeConfig.java","3","106","The class 'Image' is suspected to be a Data Class (WOC=20.000%, NOPA=1, NOAM=8, WMC=21)","Design","DataClass"
"2","net.gsantner.memetastic.data","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/data/MemeConfig.java","3","207","The class 'Caption' is suspected to be a Data Class (WOC=20.000%, NOPA=3, NOAM=8, WMC=14)","Design","DataClass"
"3","net.gsantner.memetastic.data","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/data/MemeConfig.java","3","276","The class 'Font' is suspected to be a Data Class (WOC=20.000%, NOPA=2, NOAM=8, WMC=13)","Design","DataClass"
"1","net.gsantner.memetastic.data","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/data/MemeEditorElements.java","3","82","The class 'EditorCaption' is suspected to be a Data Class (WOC=11.765%, NOPA=0, NOAM=13, WMC=21)","Design","DataClass"
"2","net.gsantner.memetastic.data","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/data/MemeEditorElements.java","3","192","The class 'EditorImage' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=11)","Design","DataClass"
"1","net.gsantner.memetastic.service","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/memetastic/service/AssetUpdater.java","3","82","The class 'UpdateThread' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=1)","Design","DataClass"
"1","net.gsantner.opoc.preference","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/preference/FontPreferenceCompat.java","3","42","The class 'FontPreferenceCompat' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=13)","Design","DataClass"
"1","net.gsantner.opoc.preference","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/preference/GsPreferenceFragmentCompat.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.preference","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/preference/LanguagePreferenceCompat.java","3","67","The class 'LanguagePreferenceCompat' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=4, WMC=18)","Design","DataClass"
"1","net.gsantner.opoc.preference","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/preference/SharedPreferencesPropertyBackend.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.util","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/util/ActivityUtils.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.util","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.util","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/util/FileUtils.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.util","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/util/NetworkUtils.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.util","/home/matheus/smells-issues-nlp/repositories/gsantner_memetastic/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
