"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/AppUtils.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/BaseListActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/BaseListFragment.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/DataModule.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/DrawerActivity.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/FavoriteFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/ItemActivity.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/ItemFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/Preferences.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/SubmitActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/UserActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/WebFragment.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.accounts","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/accounts/UserServicesClient.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/data/HackerNewsClient.java","3","237","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/data/MaterialisticDatabase.java","3","100","The class 'ReadStory' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"2","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/data/MaterialisticDatabase.java","3","147","The class 'Readable' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"3","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/data/MaterialisticDatabase.java","3","207","The class 'SavedStory' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=12)","Design","DataClass"
"1","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/data/SyncDelegate.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.widget","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/widget/FavoriteRecyclerViewAdapter.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.widget","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/widget/ItemRecyclerViewAdapter.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.widget","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/widget/ListRecyclerViewAdapter.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.widget","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/widget/SinglePageItemRecyclerViewAdapter.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.widget","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/main/java/io/github/hidroh/materialistic/widget/StoryRecyclerViewAdapter.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/AppUtilsTest.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/BaseListActivityLandTest.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/BaseListActivityTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ComposeActivityTest.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/FavoriteActivityTest.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ItemActivityTest.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ItemFragmentSinglePageTest.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ItemFragmentSinglePageTest.java","3","90","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ListFragmentTest.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/ListFragmentViewHolderTest.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/SettingsActivityTest.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/SubmitActivityTest.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/TestActivityModule.java","3","136","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/UserActivityTest.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/WebFragmentTest.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.accounts","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/accounts/UserServicesClientTest.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/data/HackerNewsClientTest.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.github.hidroh.materialistic.data","/home/matheus/smells-issues-nlp/repositories/hidroh_materialistic/app/src/test/java/io/github/hidroh/materialistic/data/HackerNewsItemTest.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
