"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","us.koller.cameraroll.adapter","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/adapter/SelectorModeManager.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","us.koller.cameraroll.adapter.album.viewHolder","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/adapter/album/viewHolder/AlbumItemHolder.java","3","22","The class 'AlbumItemHolder' is suspected to be a Data Class (WOC=25.000%, NOPA=1, NOAM=3, WMC=15)","Design","DataClass"
"1","us.koller.cameraroll.data","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/data/Settings.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","us.koller.cameraroll.data.fileOperations","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/data/fileOperations/FileOperation.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","us.koller.cameraroll.data.models","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/data/models/Album.java","3","13","The class 'Album' is suspected to be a Data Class (WOC=20.000%, NOPA=3, NOAM=3, WMC=10)","Design","DataClass"
"1","us.koller.cameraroll.data.provider","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/data/provider/Provider.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/AboutActivity.java","3","36","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/AlbumActivity.java","3","74","Avoid really long classes.","Design","ExcessiveClassLength"
"2","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/AlbumActivity.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/AlbumActivity.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/AlbumActivity.java","3","508","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/BaseActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/EditImageActivity.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/ExifEditorActivity.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/FileExplorerActivity.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","us.koller.cameraroll.ui","/home/matheus/smells-issues-nlp/repositories/kollerlukas_Camera-Roll-Android-App/app/src/main/java/us/koller/cameraroll/ui/FileExplorerActivity.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
