"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","android.support.v7.widget","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/android/support/v7/widget/ConcatAdapter.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.linuxtage.companion.activities","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/activities/AppCompatPreferenceActivity.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.linuxtage.companion.activities","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/activities/MainActivity.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","at.linuxtage.companion.activities","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/activities/MainActivity.java","3","196","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","at.linuxtage.companion.db","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/db/DatabaseHelper.java","3","7","The class 'DatabaseHelper' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=1)","Design","DataClass"
"1","at.linuxtage.companion.db","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/db/DatabaseManager.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","at.linuxtage.companion.db","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/db/DatabaseManager.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","at.linuxtage.companion.fragments","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/fragments/BookmarksListFragment.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.linuxtage.companion.fragments","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/fragments/TrackScheduleListFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.linuxtage.companion.model","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/model/Day.java","3","14","The class 'Day' is suspected to be a Data Class (WOC=28.571%, NOPA=1, NOAM=4, WMC=9)","Design","DataClass"
"1","at.linuxtage.companion.model","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/model/Event.java","3","14","The class 'Event' is suspected to be a Data Class (WOC=9.375%, NOPA=1, NOAM=28, WMC=40)","Design","DataClass"
"1","at.linuxtage.companion.model","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/model/Link.java","3","6","The class 'Link' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","at.linuxtage.companion.model","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/model/Person.java","3","9","The class 'Person' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","at.linuxtage.companion.model","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/model/Track.java","3","10","The class 'Track' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","at.linuxtage.companion.parsers","/home/matheus/smells-issues-nlp/repositories/linuxtage_glt-companion/app/src/main/java/at/linuxtage/companion/parsers/EventsParser.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
