"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.voidsink.anewjkuapp","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/ImportPoiTask.java","3","62","The class 'ImportPoiTask' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"2","org.voidsink.anewjkuapp","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/ImportPoiTask.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/StatCardAdapter.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.activity","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/activity/MainActivity.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.analytics","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/analytics/Analytics.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.base","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/base/MyLocationOverlay.java","3","51","The class 'MyLocationOverlay' is suspected to be a Data Class (WOC=30.000%, NOPA=0, NOAM=5, WMC=23)","Design","DataClass"
"2","org.voidsink.anewjkuapp.base","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/base/MyLocationOverlay.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.calendar","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/calendar/CalendarContractWrapper.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.voidsink.anewjkuapp.calendar","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/calendar/CalendarContractWrapper.java","3","152","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.dashclock","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/dashclock/MensaDashclockExtension.java","3","60","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.fragment","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/fragment/CalendarFragment.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.fragment","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/fragment/CalendarFragment2.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.fragment","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/fragment/LvaDetailFragment.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.fragment","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/fragment/MapFragment.java","3","95","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.fragment","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/fragment/StatFragmentDetail.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.voidsink.anewjkuapp.kusss","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/kusss/Assessment.java","3","42","The class 'Assessment' is suspected to be a Data Class (WOC=6.667%, NOPA=0, NOAM=12, WMC=38)","Design","DataClass"
"2","org.voidsink.anewjkuapp.kusss","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/kusss/Assessment.java","3","63","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.voidsink.anewjkuapp.kusss","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/kusss/Course.java","3","36","The class 'Course' is suspected to be a Data Class (WOC=8.333%, NOPA=0, NOAM=9, WMC=24)","Design","DataClass"
"1","org.voidsink.anewjkuapp.mensa","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/mensa/KHGMenuLoader.java","3","56","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.provider","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/provider/KusssContentProvider.java","3","456","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportAssessmentTask.java","3","60","The class 'ImportAssessmentTask' is suspected to be a Data Class (WOC=0.000%, NOPA=12, NOAM=0, WMC=4)","Design","DataClass"
"2","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportAssessmentTask.java","3","130","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportCalendarTask.java","3","162","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportCourseTask.java","3","58","The class 'ImportCourseTask' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=4)","Design","DataClass"
"2","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportCourseTask.java","3","123","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.voidsink.anewjkuapp.update","/home/matheus/smells-issues-nlp/repositories/marunjar_anewjkuapp/aNewJKUApp/src/main/java/org/voidsink/anewjkuapp/update/ImportCurriculaTask.java","3","57","The class 'ImportCurriculaTask' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=0, WMC=4)","Design","DataClass"
