"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.health.openscale","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/androidTest/java/com/health/openscale/DatabaseTest.java","3","123","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.health.openscale.core","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/OpenScale.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.core.bluetooth","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/bluetooth/BluetoothBeurerSanitas.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.health.openscale.core.bluetooth","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/bluetooth/BluetoothBeurerSanitas.java","3","444","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.health.openscale.core.bluetooth","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/bluetooth/BluetoothCommunication.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.core.bluetooth","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/bluetooth/BluetoothTrisaBodyAnalyze.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.core.datatypes","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/datatypes/ScaleUser.java","3","31","The class 'ScaleUser' is suspected to be a Data Class (WOC=14.815%, NOPA=0, NOAM=22, WMC=28)","Design","DataClass"
"1","com.health.openscale.core.evaluation","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/evaluation/EvaluationResult.java","3","19","The class 'EvaluationResult' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.health.openscale.core.evaluation","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/evaluation/EvaluationSheet.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.health.openscale.core.evaluation","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/evaluation/EvaluationSheet.java","3","52","The class 'sheetEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.health.openscale.core.utils","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/core/utils/Converters.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/MainActivity.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui.activities","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/activities/DataEntryActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui.activities","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/activities/UserSettingsActivity.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.health.openscale.gui.fragments","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/fragments/GraphFragment.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.health.openscale.gui.fragments","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/fragments/GraphFragment.java","3","273","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.health.openscale.gui.preferences","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/preferences/BackupPreferences.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui.preferences","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/preferences/BluetoothPreferences.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui.views","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/views/FloatMeasurementView.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.health.openscale.gui.views","/home/matheus/smells-issues-nlp/repositories/oliexdev_openScale/android_app/app/src/main/java/com/health/openscale/gui/views/MeasurementView.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
