"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","112","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","112","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","321","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","832","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","1080","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","1331","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","org.openintents.notepad","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/NoteEditor.java","3","1933","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.notepad.dialog","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/dialog/ThemeDialog.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.openintents.notepad.noteslist","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/noteslist/NotesList.java","3","97","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.openintents.notepad.noteslist","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/noteslist/NotesList.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.openintents.notepad.noteslist","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/noteslist/NotesList.java","3","167","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.notepad.noteslist","/home/matheus/smells-issues-nlp/repositories/openintents_notepad/NotePad/src/main/java/org/openintents/notepad/noteslist/NotesListCursor.java","3","153","Avoid really long methods.","Design","ExcessiveMethodLength"
