"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.hwyl.sexytopo.comms","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/comms/DistoXProtocol.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/Log.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.activity","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/activity/DeviceActivity.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.activity","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/activity/GraphActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.activity","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/activity/SexyTopoActivity.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.activity","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/activity/TableActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.graph","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/graph/GraphView.java","3","59","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.hwyl.sexytopo.control.graph","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/graph/GraphView.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.io","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/io/Util.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.io.basic","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/io/basic/SketchJsonTranslater.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.util","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/control/util/SurveyUpdater.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.model.sketch","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/model/sketch/Sketch.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.model.survey","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/main/java/org/hwyl/sexytopo/model/survey/Leg.java","3","7","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.hwyl.sexytopo.control.io.thirdparty.xvi","/home/matheus/smells-issues-nlp/repositories/richsmith_sexytopo/app/src/test/java/org/hwyl/sexytopo/control/io/thirdparty/xvi/XviImporterTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
