"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.westnordost.streetcomplete.data","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/androidTest/java/de/westnordost/streetcomplete/data/AQuestDaoTest.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.osm.persist","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/androidTest/java/de/westnordost/streetcomplete/data/osm/persist/OsmQuestDaoTest.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.visiblequests","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/androidTest/java/de/westnordost/streetcomplete/data/visiblequests/QuestTypeOrderListTest.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.quests","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddCyclewayTest.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.quests.add_housenumber","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/androidTest/java/de/westnordost/streetcomplete/quests/add_housenumber/AddHousenumberIntegrationTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/ApplicationComponent.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/ApplicationModule.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/MainActivity.java","3","104","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/AQuestDao.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/OsmModule.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/QuestController.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.meta","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/meta/CountryInfo.java","3","9","The class 'CountryInfo' is suspected to be a Data Class (WOC=31.250%, NOPA=1, NOAM=11, WMC=22)","Design","DataClass"
"1","de.westnordost.streetcomplete.data.osm","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/OsmQuest.java","3","17","The class 'OsmQuest' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","de.westnordost.streetcomplete.data.osm.tql","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/tql/BooleanExpression.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.osm.tql","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/tql/FiltersParser.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.osm.tql","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/tql/StringWithCursor.java","3","7","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.westnordost.streetcomplete.data.osm.upload","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/upload/AOsmQuestChangesUpload.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.westnordost.streetcomplete.data.osm.upload","/home/matheus/smells-issues-nlp/repositories/westnordost_StreetComplete/app/src/main/java/de/westnordost/streetcomplete/data/osm/upload/AOsmQuestChangesUpload.java","3","71","Avoid long parameter lists.","Design","ExcessiveParameterList"
