"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.y20k.transistor","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/MainActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.y20k.transistor","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/MainActivityFragment.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.y20k.transistor","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/MainActivityFragment.java","3","385","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.y20k.transistor","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/PlayerService.java","3","112","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.y20k.transistor","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/PlayerService.java","3","112","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.y20k.transistor.adapter","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/adapter/CollectionAdapter.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.y20k.transistor.adapter","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/adapter/CollectionAdapter.java","3","463","The class 'StationViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","org.y20k.transistor.core","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/core/Station.java","3","59","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.y20k.transistor.core","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/core/Station.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.y20k.transistor.core","/home/matheus/smells-issues-nlp/repositories/y20k_transistor/app/src/main/java/org/y20k/transistor/core/Station.java","3","86","Avoid long parameter lists.","Design","ExcessiveParameterList"
